candidate,split,cost_bps,execution_lag_days,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
structural_scarcity_w365_qna_hold1_ma200,development,15.0,1,6.431883077730832,0.49322194231134686,1.7311334166812646,-0.30514136097817435,1.616371968487829,6.054058891277047,0.47772931032766164,1.689248232163232,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,15.0,1,6.781718504914713,0.669615247374225,1.7359048914103226,-0.255459631886763,2.6212174597943667,6.2276137022021105,0.6390860181020368,1.6789959425769692,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,15.0,1,3.535978875985026,1.1275822199937315,2.195184412703858,-0.255459631886763,4.413935038055453,3.5187880190814944,1.1235522577852541,2.190090841330141,0.9986320109439124,2,0.25991792065663477,731
structural_scarcity_w365_qna_hold1_ma200,validation_h2,15.0,1,0.7155543968940701,0.30979173798511583,1.148429749013308,-0.183783578866201,1.6856333949762285,0.5994584547188428,0.26469698138283015,1.0162847400844457,4.0,8,0.30684931506849317,730
structural_scarcity_w365_qna_hold1_ma200,development,15.0,2,5.286807025533976,0.4441043450076714,1.5531659711822674,-0.30514136097817435,1.4554052704753995,4.967164596270804,0.4291197937359774,1.512679635784493,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,15.0,2,4.781395954245724,0.5501644851213514,1.4957185607584909,-0.25545963188676324,2.1536259214732643,4.369609481302472,0.521811181588173,1.4393900343630726,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,15.0,2,2.944382580872379,0.984183663949328,1.9827192474723854,-0.25545963188676324,3.852599554302904,2.9294332192063557,0.9804251720211341,1.9777181961084092,0.9986320109439124,2,0.25991792065663477,731
structural_scarcity_w365_qna_hold1_ma200,validation_h2,15.0,2,0.46572900465630607,0.21067295528408758,0.853176614246794,-0.21460218900378503,0.9816906167735868,0.36650992185254117,0.16897815285510842,0.7205951312888035,4.0,8,0.30684931506849317,730
structural_scarcity_w365_qna_hold1_ma200,development,15.0,3,6.226002507033498,0.4848601339354466,1.642976470534885,-0.30514136097817424,1.5889689040553472,5.858631556581866,0.46945368528403786,1.6030002925899518,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,15.0,3,4.940673440936833,0.5607254222713165,1.5238104812250002,-0.2554596318867631,2.194966845172108,4.517528462956994,0.5321779973891962,1.4671112564009314,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,15.0,3,3.134665035887023,1.0314143872361554,2.0457590558907524,-0.2554596318867631,4.0374848253650795,3.118994864828556,1.0275665202076896,2.040751723641575,0.9986320109439124,2,0.25991792065663477,731
structural_scarcity_w365_qna_hold1_ma200,validation_h2,15.0,3,0.43679678749656636,0.1986645850681359,0.8255864429146974,-0.18378357886620122,1.080970271085908,0.33953273651062355,0.15738184559402146,0.690566905201509,4.0,8,0.30684931506849317,730
structural_scarcity_w365_qna_hold1_ma200,development,30.0,1,6.298873034619064,0.48784130142379967,1.7163134993985976,-0.30514136097817424,1.5987386955998186,5.927808789605619,0.47240440766838443,1.6744404786943494,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,30.0,1,6.667398429014483,0.663453368190408,1.7251529754164445,-0.25545963188676324,2.5970967048308236,6.121422024111189,0.6330361297947233,1.6682158660301931,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,30.0,1,3.5225909604126633,1.1244444216463023,2.1914998489453743,-0.25545963188676324,4.401652086247157,3.5054508231898316,1.1204203984289816,2.1864057301596405,0.9986320109439124,2,0.25991792065663477,731
structural_scarcity_w365_qna_hold1_ma200,validation_h2,30.0,1,0.6953552722607699,0.30205809097012626,1.1270440327097215,-0.183783578866201,1.6435532098873318,0.5806236275972192,0.2572285502633238,0.9947457884126218,4.0,8,0.30684931506849317,730
structural_scarcity_w365_qna_hold1_ma200,development,30.0,2,5.1748325820125025,0.4389259372746239,1.539293698621751,-0.30514136097817435,1.4384347499387955,4.8608815819889015,0.423995035102543,1.4988076283921552,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,30.0,2,4.694885722463865,0.5443366496275173,1.484017384346844,-0.255459631886763,2.1308127848113556,4.289251955382649,0.516089289737202,1.4276983466467068,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,30.0,2,2.932380933092075,0.9811668370538866,1.9784435458721132,-0.255459631886763,3.8407901467923753,2.9174770365474667,0.9774140542367931,1.9734435424982122,0.9986320109439124,2,0.25991792065663477,731
structural_scarcity_w365_qna_hold1_ma200,validation_h2,30.0,2,0.44820296389391956,0.20341304791576853,0.8303077850562189,-0.218197148389507,0.9322443002447166,0.3501679540268974,0.16196727751985218,0.6977489251060406,4.0,8,0.30684931506849317,730
structural_scarcity_w365_qna_hold1_ma200,development,30.0,3,6.098170893959084,0.4795718671990341,1.6298821141983975,-0.30514136097817424,1.5716383569297128,5.737296986684363,0.4642202039723997,1.5898915328587635,2.3986856516976998,12,0.16757940854326397,1826
structural_scarcity_w365_qna_hold1_ma200,validation,30.0,3,4.851871377532041,0.5548639585408692,1.5120556899090667,-0.255459631886763,2.1720220703473903,4.435042320864988,0.5264230930423459,1.4553652071819867,2.4982888432580426,10,0.28336755646817247,1461
structural_scarcity_w365_qna_hold1_ma200,validation_h1,30.0,3,3.1221163413017976,1.0283335938241693,2.0415184096056787,-0.255459631886763,4.025425020106489,3.1064937067499043,1.0244915568602444,2.0365120086703055,0.9986320109439124,2,0.25991792065663477,731
