candidate,family,split,cost_bps,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
buy_hold,control,development,15.0,21.351849093064324,0.8608651490874248,1.203479651980938,-0.8378314303414434,1.0274920681080137,20.215033261342068,0.841549671409576,1.1895469627482627,0.0,0,1.0,1826
buy_hold,control,validation,15.0,4.890167692655733,0.5573998692896043,1.0074128892604242,-0.7666881595920789,0.7270229262261886,4.470741292340278,0.5289217300131539,0.9796104721413972,0.0,0,1.0,1461
buy_hold,control,development,30.0,21.351849093064324,0.8608651490874248,1.203479651980938,-0.8378314303414434,1.0274920681080137,20.215033261342068,0.841549671409576,1.1895469627482627,0.0,0,1.0,1826
buy_hold,control,validation,30.0,4.890167692655733,0.5573998692896043,1.0074128892604242,-0.7666881595920789,0.7270229262261886,4.470741292340278,0.5289217300131539,0.9796104721413972,0.0,0,1.0,1461
price_trend_ma100,control,development,15.0,24.165591759276296,0.9054958198509897,1.3789707195857892,-0.6316192405029925,1.4336102540668245,22.887113163103344,0.8857398746297638,1.3614539673426427,11.193866374589266,56,0.5711938663745892,1826
price_trend_ma100,control,validation,15.0,6.329878525594339,0.6448494832494491,1.3113118028631416,-0.3782388783814581,1.7048736132278588,5.807868894000531,0.6147684470535915,1.27105995296526,11.242299794661191,45,0.5838466803559206,1461
price_trend_ma100,control,development,30.0,22.132688728208784,0.8736816367498923,1.350484707351203,-0.6404208820735565,1.3642304009842456,20.957442833423432,0.8542547918291086,1.332971881473715,11.193866374589266,56,0.5711938663745892,1826
price_trend_ma100,control,validation,30.0,5.851715076102511,0.6173603994634864,1.2745859112609246,-0.38848387172021637,1.5891532297848017,5.363735376476284,0.5877806328322686,1.2343371033098725,11.242299794661191,45,0.5838466803559206,1461
price_trend_ma200,control,development,15.0,32.6363389938277,1.0192705635344281,1.4440055889423054,-0.6800997976071936,1.498707347246014,30.92681668386836,0.9983261659224816,1.4271408215830759,2.7984665936473165,14,0.6144578313253012,1826
price_trend_ma200,control,validation,15.0,3.674500412135388,0.4700063081399104,1.0682431610668588,-0.6219867386160887,0.7556532622957003,3.3417190777343793,0.4431328613516281,1.0279943582064426,6.745379876796714,27,0.5722108145106092,1461
