offset,best_min_sharpe
2515.0,1.0724326991451292
2837.0,1.2622407045910278
1832.0,1.2355107217447778
1750.0,1.3048016244458198
2882.0,1.5685011499173342
863.0,1.1837817321711555
487.0,1.214891100540238
1033.0,1.020820046353313
2228.0,1.4314925587345295
1132.0,0.7736243529281372
757.0,1.1801774661367226
3220.0,1.0686122329836507
3248.0,1.0634857557935267
1203.0,1.4477811790532567
703.0,1.1715877892823487
1157.0,1.1657997492540866
3301.0,1.1482801510060303
3365.0,1.17971499978306
897.0,1.1561921720093753
2955.0,1.4569396294718484
2338.0,1.2578568225659197
2519.0,1.0712134864357739
1972.0,1.2855333492886427
2556.0,1.1036506498125112
2915.0,1.566545728341011
2275.0,1.2036152927682333
2364.0,1.2926854760092583
3160.0,1.188382939821268
2282.0,1.2508094759718786
1297.0,1.2456398381739404
1282.0,1.2561797256046172
3108.0,1.378138815282093
2613.0,1.1063018289776094
1620.0,1.4024327067332059
673.0,1.1315265066866913
1863.0,1.1561224114208482
3466.0,1.3755823725616918
1234.0,1.2377130373819176
3030.0,1.1824842411303769
776.0,1.1007124965370276
2349.0,1.3187280475882712
1303.0,1.3766770434136681
2313.0,1.3050983098165045
1063.0,0.9826139131943465
1703.0,1.3223127991855608
1231.0,1.3169991655252942
1985.0,1.262068176925666
2866.0,1.421062428573906
1543.0,1.2651577531571394
2726.0,1.4122063076781262
3424.0,0.9567874521110272
2265.0,1.3097860253121758
589.0,1.4263620459390427
2196.0,1.2371653491565664
3449.0,1.1604764855536336
1987.0,1.2302708840943704
862.0,1.2338918900690794
2635.0,1.142757657068417
1813.0,1.1012548310028725
1452.0,1.1933725502268107
2819.0,1.4265069984412628
2633.0,1.1373303743213314
3646.0,1.1690141435486787
3066.0,1.3225104950616056
1001.0,1.264067862231643
3549.0,1.5318907518115765
550.0,1.4291916439901136
1483.0,1.3528767247542157
3565.0,1.275796461794125
662.0,1.1338146274496377
3048.0,1.2043961223130188
2110.0,1.1196580508404164
1295.0,1.2421417110182587
2432.0,1.1522412441446441
395.0,1.0910726017784633
2040.0,1.1136991131154137
3167.0,1.3219077241822121
2843.0,1.3150191710185444
558.0,1.4580771219792465
1720.0,1.2182997444098704
1771.0,1.321274192024103
2342.0,1.288991698499229
2982.0,1.3807068521529153
1853.0,1.2321685321261264
814.0,1.0617859831262437
1910.0,1.1959386108637944
2068.0,1.2875546850656507
1923.0,1.2994022652867556
1197.0,1.4551335979132098
3374.0,1.0380255538169847
1645.0,1.1795396032949652
2404.0,1.4371646166830438
2247.0,1.3059927544375634
2782.0,1.2387877953324065
1935.0,1.2208890570838662
2563.0,1.0097135362627856
2877.0,1.415101629888942
650.0,1.3490530042089792
482.0,1.2151144679559567
1216.0,1.3117242509530151
2054.0,1.2861959072624356
1959.0,1.2183536595931628
3197.0,1.0702808298514375
2042.0,1.1230211266082617
3513.0,1.1139703393620897
2435.0,1.1749800112165745
2402.0,1.3614619434922763
3158.0,1.1286797784570988
3099.0,1.3250412514626628
2059.0,1.2392680873840447
1727.0,1.2878013441122511
1097.0,0.9101921490729211
1637.0,1.3620809769892677
549.0,1.4189873705681928
2980.0,1.4042551252055007
3474.0,1.3285724117955582
1588.0,1.185641650761626
3076.0,1.3964813240739733
3077.0,1.4305785272378306
3364.0,1.1893470019523718
