strategy,prior_peak,trough,recovered,completed,depth,peak_to_trough_days,trough_to_recovery_days,underwater_days,within_20d
credit_canary_equity_allocation,2012-09-07,2012-09-10,2012-09-13,True,-0.007462719823730257,1,3,3,True
credit_canary_equity_allocation,2012-09-14,2012-11-15,2013-02-01,True,-0.0836264828296408,42,52,93,False
credit_canary_equity_allocation,2013-02-01,2013-02-04,2013-02-08,True,-0.012791055701567022,1,4,4,True
credit_canary_equity_allocation,2013-02-08,2013-02-11,2013-02-12,True,-7.549222114966447e-05,1,1,1,True
credit_canary_equity_allocation,2013-02-14,2013-02-15,2013-02-19,True,-0.0016209565668072745,1,1,1,True
credit_canary_equity_allocation,2013-02-19,2013-02-25,2013-03-05,True,-0.027870140154065526,4,6,9,True
credit_canary_equity_allocation,2013-03-11,2013-03-12,2013-03-14,True,-0.0025881328755775757,1,2,2,True
credit_canary_equity_allocation,2013-03-14,2013-03-21,2013-03-26,True,-0.010863265141837886,5,3,7,True
credit_canary_equity_allocation,2013-03-28,2013-04-01,2013-04-02,True,-0.004671591962610466,1,1,1,True
credit_canary_equity_allocation,2013-04-02,2013-04-05,2013-04-10,True,-0.012215406736184264,3,3,5,True
credit_canary_equity_allocation,2013-04-11,2013-04-18,2013-04-29,True,-0.03384726745729694,5,7,11,True
credit_canary_equity_allocation,2013-04-30,2013-05-01,2013-05-02,True,-0.00773825076003265,1,1,1,True
credit_canary_equity_allocation,2013-05-08,2013-05-09,2013-05-10,True,-0.0024572734957793996,1,1,1,True
credit_canary_equity_allocation,2013-05-15,2013-05-16,2013-05-17,True,-0.0037983502305130035,1,1,1,True
credit_canary_equity_allocation,2013-05-17,2013-05-20,2013-05-21,True,-0.0004148830579482343,1,1,1,True
credit_canary_equity_allocation,2013-05-21,2013-06-24,2013-07-11,True,-0.05616837159998278,23,12,34,True
credit_canary_equity_allocation,2013-07-15,2013-07-16,2013-07-18,True,-0.0031411284283721086,1,2,2,True
