strategy,regime,observations,share,conditional_ann_return,conditional_ann_vol,worst_day
SPY_60_TLT_40,bull_low_vol,1911,0.505957108816521,0.07549798047755307,0.06860873017010073,-0.02105121721447578
SPY_60_TLT_40,bull_high_vol,1101,0.2915011914217633,0.1391316455688978,0.09099803961326886,-0.032248238506224935
SPY_60_TLT_40,bear_low_vol,29,0.007678051363516018,0.18231822132700493,0.08993085364895262,-0.015168218883770956
SPY_60_TLT_40,bear_high_vol,736,0.19486364839819964,0.11286027449801073,0.17728645320985265,-0.05346305251369987
QQQ_60_IEF_40,bull_low_vol,1911,0.505957108816521,0.09987370805994167,0.08115776571356381,-0.03215127569605836
QQQ_60_IEF_40,bull_high_vol,1101,0.2915011914217633,0.1847153709727376,0.11272987773426502,-0.03203527150469232
QQQ_60_IEF_40,bear_low_vol,29,0.007678051363516018,0.07996221066227416,0.12261178736843818,-0.0216318649118733
QQQ_60_IEF_40,bear_high_vol,736,0.19486364839819964,0.11464642777250189,0.19359101153482805,-0.054987429676807476
SPY_trend_150d,bull_low_vol,1911,0.505957108816521,0.08414948723325932,0.11213101397631375,-0.039058073409579896
SPY_trend_150d,bull_high_vol,1101,0.2915011914217633,0.18655647676202958,0.15065098770498386,-0.05764924172066488
SPY_trend_150d,bear_low_vol,29,0.007678051363516018,0.11176593661618162,0.06356923530721836,-0.00613010537729386
SPY_trend_150d,bear_high_vol,736,0.19486364839819964,-0.019698654942106097,0.0859395505251068,-0.043064832081528004
QQQ_vol_target_12,bull_low_vol,1911,0.505957108816521,0.11033842233483071,0.11677357375605775,-0.04313855567412239
QQQ_vol_target_12,bull_high_vol,1101,0.2915011914217633,0.16300947578789526,0.13145905386044332,-0.04589354361385012
QQQ_vol_target_12,bear_low_vol,29,0.007678051363516018,0.07643700724305846,0.14986503280126803,-0.03212145226191632
QQQ_vol_target_12,bear_high_vol,736,0.19486364839819964,0.0531077941358149,0.1528348917725209,-0.05673790359898334
SPY_drawdown_medium,bull_low_vol,1911,0.505957108816521,0.07737097377894142,0.09662388441952019,-0.039058073409579896
SPY_drawdown_medium,bull_high_vol,1101,0.2915011914217633,0.12920517626662842,0.13841139675723024,-0.044911959168073556
SPY_drawdown_medium,bear_low_vol,29,0.007678051363516018,0.008740487932885843,0.0933082139175502,-0.02268815726672402
SPY_drawdown_medium,bear_high_vol,736,0.19486364839819964,0.04506678303743272,0.13988315252158645,-0.05372981652271791
all_weather_inverse_vol_63,bull_low_vol,1911,0.505957108816521,0.032856978385695346,0.05606373254765413,-0.01989387881768423
all_weather_inverse_vol_63,bull_high_vol,1101,0.2915011914217633,0.10778712675221214,0.059472939152943036,-0.019013060439516893
all_weather_inverse_vol_63,bear_low_vol,29,0.007678051363516018,0.22419094321256905,0.06468673227638258,-0.008067889169425357
all_weather_inverse_vol_63,bear_high_vol,736,0.19486364839819964,0.07208696984001683,0.09067046944369665,-0.02908404679654164
all_weather_sleeve_trend_200,bull_low_vol,1911,0.505957108816521,0.04269799850012923,0.05307165651786622,-0.016134691029868975
all_weather_sleeve_trend_200,bull_high_vol,1101,0.2915011914217633,0.1269916213608422,0.05842399037325554,-0.013251814140061047
all_weather_sleeve_trend_200,bear_low_vol,29,0.007678051363516018,0.14141484803606885,0.10249251361061826,-0.013783835861115756
all_weather_sleeve_trend_200,bear_high_vol,736,0.19486364839819964,0.05369433220715569,0.09802574083322492,-0.031239032438779346
GTAA_trend_100,bull_low_vol,1911,0.505957108816521,0.015857284636464186,0.06967465415065072,-0.030717779192045547
GTAA_trend_100,bull_high_vol,1101,0.2915011914217633,0.09399906874971409,0.0759534313415167,-0.024111884253651295
GTAA_trend_100,bear_low_vol,29,0.007678051363516018,0.17504625466586798,0.06372018819549151,-0.005736049700898027
GTAA_trend_100,bear_high_vol,736,0.19486364839819964,0.05904665764095007,0.07484001740556466,-0.020452179029164963
cross_asset_mom_126_top3,bull_low_vol,1911,0.505957108816521,0.08477168168174587,0.10773471079344005,-0.03637022349198704
cross_asset_mom_126_top3,bull_high_vol,1101,0.2915011914217633,0.22769087137953048,0.13443464006434386,-0.03618954517481576
cross_asset_mom_126_top3,bear_low_vol,29,0.007678051363516018,0.23808837500444113,0.08357991875302585,-0.013042490740027612
cross_asset_mom_126_top3,bear_high_vol,736,0.19486364839819964,-0.027370328819603218,0.15489718968980068,-0.04116479251597238
GEM_SPY_VEU_AGG,bull_low_vol,1834,0.5292929292929293,0.06886903902977748,0.1207860651491813,-0.04788357601817517
GEM_SPY_VEU_AGG,bull_high_vol,953,0.275036075036075,0.10223129314955903,0.15460812558859358,-0.05764924172066466
GEM_SPY_VEU_AGG,bear_low_vol,29,0.00836940836940837,-0.045222505093715726,0.24298716059730457,-0.04684139539970111
GEM_SPY_VEU_AGG,bear_high_vol,649,0.1873015873015873,0.022775511691360384,0.23879940888863257,-0.10942366260333958
credit_canary_equity_allocation,bull_low_vol,1834,0.5226560273582217,0.1042038154375673,0.1083886566762559,-0.03849393888799024
