diagnostic,year,return
static_average_exposure,2018,-0.011682512466492878
static_average_exposure,2019,0.2328033920938708
static_average_exposure,2020,0.22220895676632635
static_average_exposure,2021,0.15006471449641912
always_risk_on,2008,-0.34282766774574247
always_risk_on,2009,0.33116801576880506
always_risk_on,2010,0.16316440038146607
always_risk_on,2011,0.02356990261777292
always_risk_on,2012,0.16591142405792536
always_risk_on,2013,0.3343846369298715
always_risk_on,2014,0.14881840750976938
always_risk_on,2015,0.032406752736801936
always_risk_on,2016,0.10822338157793698
always_risk_on,2017,0.2439624581258133
always_risk_on,2018,-0.03438536583715168
always_risk_on,2019,0.3313350988659114
always_risk_on,2020,0.25446696775648636
always_risk_on,2021,0.28418456333816566
always_risk_off,2008,0.08168014625199849
always_risk_off,2009,0.022882964595439814
always_risk_off,2010,0.1241865482936444
always_risk_off,2011,0.10563535030861848
always_risk_off,2012,0.03735079335363389
always_risk_off,2013,-0.10349078722293403
always_risk_off,2014,0.04099760743362624
always_risk_off,2015,-0.01859820187641248
always_risk_off,2016,0.02928315336424281
always_risk_off,2017,0.04487571993385098
always_risk_off,2018,0.004744178166659951
always_risk_off,2019,0.09261849819437673
always_risk_off,2020,0.11924396628092748
always_risk_off,2021,-0.02777740050935651
