diagnostic,start,end,cagr,stress_cagr,annual_vol,max_drawdown,ulcer_index,worst_year,cagr_2008_2012,cagr_2013_2016,cagr_2017_2021,late_gfc_return,annual_turnover,risk_on_share
always_risk_on,2008-05-01,2021-12-31,0.13269551024262105,0.13267023785906384,0.20510333687290966,-0.5052547484444738,0.11449805788170206,-0.34282766774574247,0.04249040585531394,0.15080738721005216,0.20854359632801334,-0.4859702796353994,0.04463398899628345,
sensitivity_both_150_weekly,2008-05-01,2021-12-31,0.1296298684735271,0.12397696643249967,0.11581437506723154,-0.13495687189105554,0.038147818582526784,-0.014901357377168911,0.1300641083850551,0.1221089108245621,0.1352800976987143,0.03054660865396941,10.028641168109516,0.6139994191112402
sensitivity_both_200_monthly,2008-05-01,2021-12-31,0.12869544833938118,0.126982174562148,0.11181667092521698,-0.131384335881072,0.03632401286273753,-0.013064081611538714,0.0927916270782847,0.13486021783481217,0.15823491710774884,0.07877184759165479,3.036695480074171,0.5922160906186466
sensitivity_both_250_weekly,2008-05-01,2021-12-31,0.12260879139838865,0.11894478248959617,0.10953181326221102,-0.15857656499998818,0.045927092047536255,0.007679499914286847,0.08050371137694756,0.14931986185000845,0.1417200903323541,0.08082981233488273,6.5351981420425105,0.5756607609642753
frozen_both_200_weekly,2008-05-01,2021-12-31,0.11840007520976492,0.11426469793427962,0.11154226173290432,-0.12900122109731949,0.043895008207230884,-0.018792123174935726,0.09529835397335584,0.13523801654719536,0.12685601876741526,0.08082981233487985,7.405287557235768,0.5925065349985478
ablation_credit_only_200_weekly,2008-05-01,2021-12-31,0.11788558363937196,0.11326438598014166,0.11330056818608512,-0.13130778149426547,0.04470390645346103,-0.01879212317493406,0.09444554282008433,0.13523801654719536,0.12625808792381665,0.040269237788695955,8.280858638456593,0.600929422015684
timing_both_200_extra_week_delay,2008-05-01,2021-12-31,0.11431263636418909,0.1101953982054833,0.11405099044644276,-0.14430166424630209,0.03948726710126064,-0.008890456619693898,0.087114748419032,0.11971442075819128,0.1359251811768032,0.0791785351077483,7.399836127961403,0.5913447574789428
ablation_spy_only_200_weekly,2008-05-01,2021-12-31,0.11205303192227478,0.10877294074250798,0.13206309008157932,-0.2368606992708998,0.07901316891725248,-0.16475295212793517,0.04784346490560587,0.11147712356225847,0.1760665975569382,0.05442239207414312,5.905032922024925,0.8065640429857682
static_average_exposure,2008-05-01,2021-12-31,0.09984191168253842,0.09974641335664036,0.11425418564792203,-0.31009336177340907,0.06124961503894326,-0.1839730592850799,0.06571306127585275,0.08244754626442807,0.14725735113248195,-0.29222658567698545,0.17364930140786458,
always_risk_off,2008-05-01,2021-12-31,0.038641606391931926,0.03859590293782178,0.06232188535177626,-0.11963509989616072,0.05011197728916205,-0.10349078722293403,0.0791068415734082,-0.014636319600915382,0.04537263265578506,0.07314298906215067,0.08800612630650237,
