name,family,active_asset,inactive_asset,start_day,length,lookback,cagr,annual_vol,sharpe,max_drawdown,annual_turnover,active_return_ann,information_ratio,tracking_error,max_5pct_recovery_days,median_5pct_recovery_days,share_5pct_recovered_within_20d,n_5pct_drawdowns,dev_cagr,dev_vol,dev_sharpe,dev_max_drawdown,val_cagr,val_vol,val_sharpe,val_max_drawdown,dev_active_return_ann,dev_information_ratio,val_active_return_ann,val_information_ratio,matched_active_return_ann,matched_information_ratio,dev_matched_active_return_ann,dev_matched_information_ratio,val_matched_active_return_ann,val_matched_information_ratio,matched_baseline,both_subperiod_cagr_positive,both_subperiod_active_positive,both_subperiod_matched_positive,robust_active_score,robust_matched_score
SPY_buy_hold,benchmark,SPY,SPY,0,0,0,0.1054826849657895,0.18932972623173547,0.6245557710376892,-0.5518940436853614,0.0,0.0,,0.0,869,35.5,0.3,20,0.0489066042581745,0.21132291767347952,0.33147285283649564,-0.5518940436853614,0.16502937936481676,0.16444813912329156,1.011761842733568,-0.337172528469891,0.0,,0.0,,0.0,,0.0,,0.0,,,True,False,False,,
qqq_relative_momentum_all_year_lb21,all_year_comparator,QQQ_if_relative_strength_positive,SPY,0,0,21,0.09913290045689216,0.19791930822448772,0.5769011172795487,-0.570775078980226,50.94504524387552,-0.004067103101113821,-0.06536053080366072,0.062225674288526905,1007,29.0,0.391304347826087,23,0.030377691284147135,0.21610182380945175,0.24661242948290302,-0.570775078980226,0.17237579660847646,0.17788193734995744,0.9837186041646598,-0.28559367125225543,-0.016754414605624993,-0.2523045051662283,0.00860341884251798,0.14896674201535978,-0.004067103101113821,-0.06536053080366072,-0.016754414605624993,-0.2523045051662283,0.00860341884251798,0.14896674201535978,SPY_buy_hold,True,False,False,-0.2523045051662283,-0.2523045051662283
spy_trend_gate_all_year_lb21,all_year_comparator,SPY_if_trend_positive_else_SHY,SHY,0,0,21,0.022103810411682634,0.10958725898814803,0.2545196565545543,-0.37465364420495484,57.06290002207018,-0.09035486162659774,-0.5679454945369141,0.15909072700765137,2742,38.0,0.14285714285714285,7,-0.010824650196253005,0.12227847803394025,-0.027611862318377974,-0.37465364420495484,0.05608265375841692,0.0952268683419804,0.6208245839081649,-0.27449468624667217,-0.07342414689093411,-0.41159741788801346,-0.10726317135820006,-0.7819879271288557,-0.09035486162659774,-0.5679454945369141,-0.07342414689093411,-0.41159741788801346,-0.10726317135820006,-0.7819879271288557,SPY_buy_hold,False,False,False,-0.7819879271288557,-0.7819879271288557
qqq_relative_momentum_all_year_lb63,all_year_comparator,QQQ_if_relative_strength_positive,SPY,0,0,63,0.1291895210701568,0.20142067518147708,0.7042083704911182,-0.5109027592879931,23.692783050099315,0.023595152305752615,0.36668121159569,0.064347862829059,524,32.0,0.25925925925925924,27,0.07392561366577044,0.2191423697372097,0.4349012760812711,-0.5109027592879931,0.18721845461795383,0.18201046233584584,1.0346513515806555,-0.28559367125225554,0.02525748585122606,0.3870936621213836,0.021935018584115257,0.34570915603004526,0.023595152305752615,0.36668121159569,0.02525748585122606,0.3870936621213836,0.021935018584115257,0.34570915603004526,SPY_buy_hold,True,True,True,0.34570915603004526,0.34570915603004526
spy_trend_gate_all_year_lb63,all_year_comparator,SPY_if_trend_positive_else_SHY,SHY,0,0,63,0.05353148818383313,0.10764649783540331,0.5384930250357566,-0.2097810837226336,29.921871551533876,-0.060280084893124815,-0.37596826543691214,0.1603329068826419,487,58.5,0.125,16,0.03444381009713671,0.10973548621117792,0.3636213082432138,-0.2097810837226336,0.07294541327539861,0.10553098624952874,0.7202406844661621,-0.16410251781498775,-0.030145649334146492,-0.16151050782287085,-0.09037464250473792,-0.7016131924126169,-0.060280084893124815,-0.37596826543691214,-0.030145649334146492,-0.16151050782287085,-0.09037464250473792,-0.7016131924126169,SPY_buy_hold,True,False,False,-0.7016131924126169,-0.7016131924126169
qqq_relative_momentum_all_year_lb126,all_year_comparator,QQQ_if_relative_strength_positive,SPY,0,0,126,0.11780281787306857,0.20228372787874593,0.6520470217836097,-0.6380815324906227,14.794085190907083,0.01365152917160626,0.19729489366279745,0.06919352507388506,988,41.5,0.2727272727272727,22,0.029185433488965185,0.21688053316357173,0.24113730395991753,-0.6380815324906227,0.21391785486970538,0.1864837673419155,1.1335768387226663,-0.28559367125225543,-0.01774982334250698,-0.25264289792510497,0.04501132718305415,0.6612168488653558,0.01365152917160626,0.19729489366279745,-0.01774982334250698,-0.25264289792510497,0.04501132718305415,0.6612168488653558,SPY_buy_hold,True,False,False,-0.25264289792510497,-0.25264289792510497
spy_trend_gate_all_year_lb126,all_year_comparator,SPY_if_trend_positive_else_SHY,SHY,0,0,126,0.057825786468532536,0.11125834808002988,0.5611802470967411,-0.24925411897137895,20.578238799382035,-0.05581098587988976,-0.3540046081472126,0.15765609993607996,358,56.5,0.21428571428571427,14,0.01393054979470798,0.10677651424646427,0.18310987716460725,-0.24925411897137895,0.1035594480518196,0.1155214779957379,0.911201898216669,-0.20240671293442147,-0.05049597598322514,-0.26799031520920663,-0.06111896223897609,-0.5123239217098995,-0.05581098587988976,-0.3540046081472126,-0.05049597598322514,-0.26799031520920663,-0.06111896223897609,-0.5123239217098995,SPY_buy_hold,True,False,False,-0.5123239217098995,-0.5123239217098995
season_only_SPY_s1_l3,season_only,SPY,SHY,1,3,0,0.026277861511419642,0.03956386073343356,0.6754540889572614,-0.06212479702813012,15.906422423306113,-0.09152340163968282,-0.48112646548033594,0.19022732733754275,194,147.0,0.0,3,0.03714480269956755,0.04171181030533271,0.8952818334631242,-0.06212479702813012,0.015538936600606457,0.037292776227846595,0.43218480333495246,-0.046224978858359966,-0.03270398438373583,-0.15295839952452747,-0.15026498111364137,-0.9203055738200228,-0.09152340163968282,-0.48112646548033594,-0.03270398438373583,-0.15295839952452747,-0.15026498111364137,-0.9203055738200228,,True,False,False,-0.9203055738200228,-0.9203055738200228
season_only_QQQ_s1_l3,season_only,QQQ,SHY,1,3,0,0.03185657574011125,0.049440309627943144,0.6590552696918854,-0.08695687060968649,15.906422423306113,-0.08566307655152178,-0.4480419771478033,0.19119430973152463,315,203.5,0.0,4,0.04417629418797242,0.05315696020277899,0.839850937337227,-0.08695687060968649,0.01969822701094137,0.04542529048422544,0.4521672744899483,-0.04377140484587261,-0.025403887538658538,-0.11824605067543532,-0.14584252248232124,-0.8883146348796065,-0.08566307655152178,-0.4480419771478033,-0.025403887538658538,-0.11824605067543532,-0.14584252248232124,-0.8883146348796065,,True,False,False,-0.8883146348796065,-0.8883146348796065
season_tilt_QQQ_s1_l3,season_tilt,QQQ,SPY,1,3,0,0.10269911775999052,0.1915817831120725,0.6062898316150224,-0.5665149747863976,15.906422423306113,-0.0020928861234920074,-0.10841726254351379,0.019303993426803393,975,37.0,0.4,20,0.04771503481213979,0.2138324786175876,0.3247639499381548,-0.5665149747863976,0.16049021178677414,0.16641418806741656,0.978289675313291,-0.337172528469891,-0.0006027300100463802,-0.028491220080653405,-0.0035810702614897587,-0.2074448217418389,-0.0020928861234920074,-0.10841726254351379,-0.0006027300100463802,-0.028491220080653405,-0.0035810702614897587,-0.2074448217418389,,True,False,False,-0.2074448217418389,-0.2074448217418389
season_only_RSP_s1_l3,season_only,RSP,SHY,1,3,0,0.023829179773619202,0.04495812653286512,0.5463457295778185,-0.09356424564931431,15.906422423306113,-0.09368429270596608,-0.4913413970518107,0.1906704651146814,263,248.0,0.0,5,0.03803060781362433,0.05066776042348644,0.7620308467376607,-0.09356424564931431,0.009840452186109294,0.03840957438696116,0.27424293301404884,-0.06569178822089783,-0.031437414013149846,-0.14672473646510148,-0.1558487979377861,-0.9519875834880837,-0.09368429270596608,-0.4913413970518107,-0.031437414013149846,-0.14672473646510148,-0.1558487979377861,-0.9519875834880837,,True,False,False,-0.9519875834880837,-0.9519875834880837
season_tilt_RSP_s1_l3,season_tilt,RSP,SPY,1,3,0,0.09412059758744418,0.190488293172114,0.567661503331217,-0.5619114250704493,15.906422423306113,-0.010114102277936325,-0.7582381384555895,0.013338952190583743,888,33.0,0.3,20,0.0415485205467947,0.2132301024047428,0.297385562316421,-0.5619114250704493,0.1492713522348157,0.1646718647543981,0.9278756075570106,-0.337172528469891,-0.006636256484537681,-0.4684522308645397,-0.01358734571695464,-1.0907191375528005,-0.010114102277936325,-0.7582381384555895,-0.006636256484537681,-0.4684522308645397,-0.01358734571695464,-1.0907191375528005,,True,False,False,-1.0907191375528005,-1.0907191375528005
season_only_IWM_s1_l3,season_only,IWM,SHY,1,3,0,0.01751356526534531,0.05513283311852804,0.3425561554102374,-0.11155102147132856,15.906422423306113,-0.09936088179705897,-0.5169746851647736,0.19219680314789495,757,143.0,0.16666666666666666,6,0.033484680116268484,0.0607852055409376,0.5722403719189504,-0.10924064887130625,0.0018099096116361846,0.04883260669452001,0.06162832993936314,-0.11155102147132467,-0.03526406176504418,-0.16351195826621095,-0.16337288027631858,-0.9876283412269495,-0.09936088179705897,-0.5169746851647736,-0.03526406176504418,-0.16351195826621095,-0.16337288027631858,-0.9876283412269495,,True,False,False,-0.9876283412269495,-0.9876283412269495
