asset,start_day,length,n_quarters,earnings_mean,earnings_t,earnings_win_rate,placebo_mean,difference_mean,difference_t,difference_p,dev_difference,dev_difference_t,val_difference,val_difference_t,earnings_excess_mean,placebo_excess_mean,excess_difference_mean,excess_difference_t,excess_difference_p,dev_excess_difference,dev_excess_difference_t,val_excess_difference,val_excess_difference_t,both_subperiods_positive,both_subperiods_excess_positive,difference_q,excess_difference_q
XLF,13,8,72,0.01014851562416848,2.4238749864005564,0.7222222222222222,-0.0035408082185371154,0.013689323842705596,2.8866320660168223,0.005155461053896936,0.013795324892408674,1.7264482175700748,0.013583322793002516,2.5952748177332827,0.005957982948906478,-0.0025587141652006116,0.00851669711410709,3.0544681009274592,0.003173702049936569,0.009942414932829664,2.0602661335370223,0.007090979295384515,2.485730618547911,True,True,0.3452332479519812,0.6188718997376309
XLF,13,5,72,0.005026844053216611,1.4817613626703185,0.7083333333333334,-0.004839062554098016,0.009865906607314626,2.7237797821956766,0.008117777430565938,0.007619029733711934,1.4103966925885727,0.012112783480917318,2.485038368862599,0.0017527502693180559,-0.0022542126457515926,0.004006962915069649,1.8356764748486138,0.07059313745648146,0.002807886042538758,0.9006390925966193,0.0052060397876005395,1.6864695581965503,True,True,0.3452332479519812,1.0
XLY,13,3,72,0.004526969616156405,2.204117866256843,0.5833333333333334,-0.003397564492503829,0.007924534108660234,3.1280436318117344,0.0025519346007751684,0.00897282659151847,2.1004123947737297,0.006876241625801999,2.473749431290733,0.0018428266771526977,0.0002127002016539336,0.001630126475498764,1.0977824267611034,0.2760085751074517,0.003848795008707489,1.4631996577747444,-0.0005885420577099608,-0.44543590945694894,True,False,0.3452332479519812,1.0
XLI,13,3,72,0.0032119379184835004,1.6212525090506453,0.5555555555555556,-0.0045388160708623925,0.0077507539893458925,2.8363807627031634,0.005941337688281085,0.00806856835845099,1.9149884903222218,0.007432939620240797,2.0992269505614547,0.0005277949794797932,-0.0009285513767046302,0.0014563463561844234,0.9475827260305394,0.3465560053955308,0.00294453677564001,1.341118078557966,-3.184406327116301e-05,-0.014789349072924726,True,False,0.3452332479519812,1.0
RSP,13,3,72,0.002940110110380648,1.6707125619524055,0.5555555555555556,-0.004013639238770196,0.006953749349150844,2.6920077110337233,0.008852134562871313,0.005931922662603708,1.3949841195021817,0.00797557603569798,2.6690475477786593,0.00025596717137694086,-0.0004033745446124334,0.0006593417159893743,0.8683836481145473,0.3881102038786015,0.0008078910797927283,0.6792942718424467,0.0005107923521860202,0.5316091945632534,True,True,0.3452332479519812,1.0
XLF,13,3,72,0.004616102064122183,1.3722365395926361,0.625,-0.006034002080137825,0.010650104144260007,2.468984159342307,0.015957839665528332,0.010242588150484802,1.31098488749736,0.011057620138035214,2.909948885855371,0.001931959125118476,-0.0024237373859800626,0.0043556965110985385,1.6650304869623005,0.10031380712775473,0.005118556567673823,1.0984180897158977,0.0035928364545232544,1.4647766053629125,True,True,0.3457531927531139,1.0
XLI,13,5,72,0.003884205723245957,1.374657793491167,0.5833333333333334,-0.004104509312177072,0.007988715035423028,2.493560502053611,0.014978744231952048,0.009027509068597075,1.807892510532961,0.006949921002248981,1.7033978505533143,0.0006101119393474019,-0.0015196594038306482,0.00212977134317805,1.1996287501455154,0.23427150784634646,0.004216365377423899,1.540877688873981,4.3177308932201533e-05,0.019211077456730292,True,True,0.3457531927531139,1.0
SPY,13,3,72,0.002684142939003707,1.6433806503365556,0.6111111111111112,-0.0036102646941577627,0.0062944076331614696,2.4797362169679547,0.015522627088188882,0.005124031582810979,1.2043000109396749,0.00746478368351196,2.645924593988762,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.3457531927531139,1.0
SPY,13,5,72,0.003274093783898555,1.5431502420513574,0.6527777777777778,-0.002584849908346423,0.0058589436922449785,2.4788263649358506,0.015559037875042791,0.004811143691173176,1.2796674975152704,0.00690674369331678,2.3735180437588563,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.3457531927531139,1.0
RSP,13,5,72,0.003993752431336621,1.589318177626497,0.6944444444444444,-0.002593912419997562,0.006587664851334183,2.4012594739744073,0.018959864527808908,0.005087234514907182,1.158100297717476,0.008088095187761183,2.426474799593139,0.0007196586474380657,-9.062511651139163e-06,0.0007287211590892048,0.6683067225610773,0.5061047269600252,0.0002760908237340058,0.1544103270755274,0.0011813514944444038,0.9295778541669888,True,True,0.3494174187443147,1.0
XLU,13,3,72,0.004247863366062827,2.3902377410255675,0.6805555555555556,-0.0019927245473750264,0.006240587913437853,2.385828815437086,0.01971072618557673,0.005024722821396787,1.6400633113091194,0.007456453005478919,1.7436411592243968,0.0015637204270591194,0.0016175401467827363,-5.3819719723616826e-05,-0.024741978338026414,0.9803301795180733,-9.93087614141926e-05,-0.03217017368864481,-8.330678033041044e-06,-0.0026793169015120045,True,False,0.3494174187443147,1.0
XLY,13,5,72,0.005411644762615934,2.084417282369844,0.625,-0.0011501327430471682,0.006561777505663103,2.301051214343431,0.02432818157360036,0.006759318622738298,1.4433313873393696,0.006364236388587907,1.9138369493417398,0.002137550978717379,0.0014347171652992546,0.0007028338134181245,0.374368843587746,0.709245707336736,0.0019481749315651215,0.5840049360360097,-0.0005425073047288725,-0.30897643235852396,True,False,0.39533295057100587,1.0
XLE,13,8,72,0.007576119320483806,1.5183694359431847,0.5972222222222222,-0.0022335073622653714,0.009809626682749178,1.7465234236929763,0.08504487169125238,0.005205331008711254,0.7993286145834115,0.014413922356787102,1.5692273305374718,0.0033855866452218056,-0.0012514133089288676,0.0046369999541506736,1.0133553367461798,0.3143314169152469,0.0013524210491322464,0.30519091608542864,0.0079215788591691,0.9848433512374066,True,True,0.7807031944003192,1.0
XLE,13,5,72,0.007575803326225886,2.104078287319649,0.6527777777777778,-0.0009188617664272897,0.008494665092653175,1.954416748365978,0.05459069700305192,0.00899108704171054,1.332927645515101,0.007998243143595811,1.4335245294623533,0.0043017095423273305,0.0016659881419191333,0.002635721400408197,0.787422290563055,0.433655511496998,0.004179943350537364,0.9381243291783382,0.0010914994502790305,0.21628338917789963,True,True,0.7807031944003192,1.0
XLE,13,3,72,0.004761081616474261,1.677457010559626,0.6111111111111112,-0.0031122490988298,0.00787333071530406,1.8508457758679642,0.06835151300256372,0.008396092746652647,1.1128146936401602,0.007350568683955474,1.8109206990034306,0.002076938677470554,0.0004980155953279627,0.0015789230821425912,0.5721359075101268,0.5690370646116024,0.0032720611638416674,0.7501127380234089,-0.00011421499955648524,-0.033380655999647374,True,False,0.7807031944003192,1.0
XLY,10,8,72,0.009008964155924927,2.670534163567581,0.6527777777777778,0.001323444189589706,0.00768551996633522,1.8257117839553834,0.07209891673794558,0.008956704580939397,1.2416918616855093,0.006414335351731048,1.4425541721099042,0.0033700305362087154,0.0005993410041626033,0.0027706895320461123,1.3711709182219942,0.17464015373525185,0.004544454715148572,1.2426512790307376,0.0009969243489436526,0.5744347424951386,True,True,0.7807031944003192,1.0
XLU,13,5,72,0.004366113302194308,1.8742348143615193,0.6388888888888888,-0.001323914704008014,0.005690028006202322,1.850859540226243,0.06834950644624119,0.003027515944531207,0.6857343331943148,0.008352540067873438,1.9447071164436998,0.0010920195182957532,0.001260935204338409,-0.00016891568604265574,-0.06335896609697701,0.9496587017546612,-0.0017836277466419695,-0.5344882776765517,0.001445796374556658,0.3451036046956264,True,False,0.7807031944003192,1.0
XLU,13,8,72,0.006553176310216303,2.4668017623798835,0.6666666666666666,0.0010600011617602305,0.005493175148456073,1.7992321996823728,0.07623127963054206,0.001971826378065795,0.47947428854529694,0.00901452391884635,2.0058803600846615,0.002362643634954303,0.0020420952150967345,0.00032054841985756845,0.1005556827960902,0.9201865902138092,-0.0018810835815132121,-0.4716887493711082,0.002522180421228349,0.5039599701640096,True,False,0.7807031944003192,1.0
XLK,13,3,72,0.0018302866983946867,0.8367463412243792,0.5972222222222222,-0.003516514192147035,0.005346800890541722,1.9102809545200525,0.060136234326660376,0.002670933801008135,0.6296865408436981,0.008022667980075308,2.192991857872033,-0.0008538562406090204,9.375050201072744e-05,-0.0009476067426197478,-0.5733616368847054,0.5682115299169058,-0.0024530977818028443,-0.932505379024664,0.0005578842965633488,0.277826760588446,True,False,0.7807031944003192,1.0
IWM,13,3,72,0.002309138088066567,1.1309244185820229,0.5555555555555556,-0.0028824059723158496,0.005191544060382417,1.8822663869244816,0.06389808675831907,0.004035834415705637,0.8587980839183657,0.0063472537050591965,2.1515175515187406,-0.00037500485093713994,0.0007278587218419128,-0.0011028635727790529,-0.7057279851331907,0.48266650059265254,-0.0010881971671053425,-0.42249213438793126,-0.0011175299784527632,-0.617615656438123,True,False,0.7807031944003192,1.0
SPY,13,8,72,0.004190532675262,1.5313001092793463,0.6527777777777778,-0.0009820940533365038,0.005172626728598504,1.7294215873945487,0.08807933475285652,0.0038529099595790072,0.8739791010729921,0.006492343497618002,1.5858408374581046,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.7807031944003192,1.0
QQQ,13,3,72,0.0022655780981601587,1.0003456166121878,0.5416666666666666,-0.002786659476585827,0.005052237574745985,1.7679912635254105,0.08135846559876443,0.0017617316357396347,0.38808235931692703,0.008342743513752337,2.418038576835655,-0.00041856484084354845,0.0008236052175719354,-0.001242170058415484,-0.7287906127493066,0.468526923314132,-0.003362299947071345,-1.1705630295117107,0.0008779598302403771,0.48485564945163273,True,False,0.7807031944003192,1.0
XLU,10,8,72,0.008010515267584171,2.5777854092222636,0.7222222222222222,0.0017230073998840334,0.006287507867700138,1.6824116390176018,0.09688228900112177,0.0035230531613623045,0.6082295545388847,0.009051962574037972,1.90085083393574,0.002371581647867959,0.0009989042144569308,0.001372677433411028,0.4299529839006428,0.6685320008472231,-0.0008891967044285196,-0.2074580718458092,0.003634551571250576,0.7630099731520239,True,False,0.8213933197921194,1.0
XLI,10,8,72,0.006532253756015852,1.855781078929596,0.5416666666666666,2.120041427577009e-05,0.006511053341740081,1.4521985808065228,0.15085138825694425,0.008761478791795271,1.26369752418846,0.004260627891684892,0.7394426119955612,0.0008933201362996397,-0.0007029027711513325,0.0015962229074509722,0.7042712891579298,0.4835674771947415,0.004349228926004447,1.3928056524910524,-0.0011567831111025028,-0.35434393334371833,True,False,0.9171230385459404,1.0
RSP,10,8,72,0.0070495192021135696,2.0893334036231765,0.7083333333333334,0.000758832865764431,0.006290686336349138,1.5501369953845348,0.12555494580617418,0.007525666261008408,1.1338031221965132,0.005055706411689868,1.0618040815451752,0.001410585582397357,3.472968033732846e-05,0.0013758559020600285,1.0353069070540009,0.3040390303130263,0.003113416395217584,1.7438950525277839,-0.0003617045910975271,-0.1854214157852261,True,False,0.9171230385459404,1.0
XLI,13,8,72,0.0038913279554927465,1.042362656217212,0.5694444444444444,-0.0023855352076632263,0.006276863163155973,1.5523807458106376,0.12501758754062664,0.0065911429298766795,1.0755128871600415,0.005962583396435267,1.1116934775378084,-0.00029920471976925393,-0.0014034411543267225,0.0011042364345574688,0.5197830359776858,0.604831633409936,0.002738232970297672,0.8154765294627461,-0.0005297601011827345,-0.2019266010824534,True,False,0.9171230385459404,1.0
RSP,13,8,72,0.004458438200119808,1.3870303506593047,0.6388888888888888,-0.0010374164501940712,0.005495854650313879,1.5852266644277841,0.11735907892906071,0.002637283053784729,0.5010597475387453,0.008354426246843029,1.8409435045479496,0.0002679055248578073,-5.5322396857567265e-05,0.00032322792171537453,0.23061296610357054,0.8182787050203274,-0.0012156269057942782,-0.5964308392529418,0.0018620827492250272,0.9705757398727703,True,False,0.9171230385459404,1.0
XLY,10,5,72,0.004594836709174081,1.9998219044822731,0.6388888888888888,-0.0005556739296277863,0.005150510638801867,1.459753275926588,0.1487685494452019,0.00498763402482882,0.9166626855596007,0.005313387252774915,1.1622091188821604,0.0013893712312531019,-0.000967588574992673,0.002356959806245775,1.5179805780489608,0.13345971084098987,0.0037161271361719466,1.3525416720557766,0.000997792476319603,0.6841891787480728,True,True,0.9171230385459404,1.0
SPY,10,8,72,0.005638933619716212,1.968017614171009,0.6944444444444444,0.0007241031854271025,0.00491483043428911,1.43666434794003,0.15520543729238992,0.0044122498657908245,0.7725335192926825,0.005417411002787396,1.4059487304485536,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.9171230385459404,1.0
IWM,13,5,72,0.0037315357353672135,1.224943093928466,0.625,-0.0011725818356358333,0.004904117571003046,1.4492153387880904,0.1516800957925396,0.003432706726340332,0.5981046841783487,0.0063755284156657615,1.7419014571875453,0.00045744195146865826,0.0014122680727105897,-0.0009548261212419313,-0.4445807147653274,0.6579750744439972,-0.0013784369648328447,-0.3942790690962893,-0.0005312152776510179,-0.20866317207732354,True,False,0.9171230385459404,1.0
XLB,13,3,72,0.0009120849732858235,0.39954617734860254,0.5,-0.0037809077088229964,0.00469299268210882,1.4367580473544332,0.15517888545547517,0.004006998035421487,0.6978574855181264,0.005378987328796153,1.6767863738794535,-0.0017720579657178835,-0.00017064301466523395,-0.0016014149510526496,-0.8267307172005182,0.4111595048858645,-0.0011170335473894922,-0.3736582754991211,-0.002085796354715807,-0.8328037745017166,True,False,0.9171230385459404,1.0
XLU,10,5,72,0.006278385700446706,2.4086540108385086,0.6666666666666666,0.0016982859225778298,0.004580099777868876,1.4431370884652903,0.15337950980773984,0.004489949684801238,0.9289201745933388,0.004670249870936514,1.1163395687741509,0.003072920222525727,0.001286371277212943,0.0017865489453127838,0.7307474866681152,0.4673380433552446,0.0032184427961443655,0.9032346421682824,0.0003546550944812022,0.10487266125149772,True,True,0.9171230385459404,1.0
XLP,13,3,72,6.855410783985123e-05,0.04639856753478003,0.5972222222222222,-0.003281493615846092,0.0033500477236859433,1.4786576622074326,0.14365484975488954,0.00016299555258003794,0.07093932150292916,0.0065370998947918485,1.6898239475621113,-0.002615588831163856,0.0003287710783116705,-0.0029443599094755263,-1.5866304922843562,0.117040325610775,-0.004961036030230941,-1.8189330982332483,-0.0009276837887201109,-0.3695864312979665,True,False,0.9171230385459404,1.0
QQQ,1,8,72,0.010007067755904969,1.8900369256682137,0.6527777777777778,0.0025152927029525505,0.00749177505295242,1.4179323623850355,0.16058464026346358,0.005423275517008764,0.6087905766356659,0.009560274588896073,1.6478662848432017,0.0037899119101915233,-0.0006294327051791766,0.0044193446153707,2.0223263248298737,0.04691105811746652,0.004399583466854122,1.1919072206892998,0.004439105763887278,1.851305794957132,True,True,0.9210001426875117,1.0
QQQ,13,5,72,0.0031912654332909,1.1240184618578348,0.5277777777777778,-0.0009357627788462226,0.004127028212137123,1.3637496563246738,0.17695459218245646,0.002205513393654735,0.4574143208903182,0.00604854303061951,1.6343840112240875,-8.282835060765486e-05,0.0016490871295002003,-0.0017319154801078553,-1.050258971158522,0.2971607976705594,-0.002605630297518441,-1.1105002166945503,-0.0008582006626972693,-0.366482709663549,True,False,0.9585040409883059,1.0
XLK,13,5,72,0.002613874029194035,0.9688623382162379,0.5555555555555556,-0.0013497470004756264,0.003963621029669661,1.3746599164261812,0.17356006145469843,0.002971322816647478,0.6897956692284335,0.004955919242691845,1.274581919834133,-0.00066021975470452,0.0012351029078707966,-0.0018953226625753165,-1.176002421460673,0.2435220851906177,-0.0018398208745256984,-0.93536886382392,-0.0019508244506249346,-0.7554055799724242,True,False,0.9585040409883059,1.0
XLE,7,8,72,0.005635842807193215,1.0554653490301837,0.5555555555555556,-0.0026628404952037843,0.008298683302397001,1.325679039577373,0.18919568901100917,0.006883039951547009,0.6967346790802648,0.00971432665324699,1.2409674828796013,0.00032682151801823815,-0.0029182678241809526,0.0032450893421991905,0.7411271133475521,0.4610606381212922,0.006414645204201848,0.9438053552310343,7.553348019653332e-05,0.013562688054896181,True,True,0.9599562682632208,1.0
XLF,7,8,72,0.0032843351953503277,0.5929015154777701,0.5,-0.004030846026855072,0.0073151812222054,0.9104216694364092,0.36568070215444426,0.0032719637435115793,0.22140092640621178,0.011358398700899221,1.7403927676348736,-0.0020246860938246494,-0.004286273355832241,0.0022615872620075908,0.45036661369693665,0.65381835269707,0.002803568996166418,0.2978509645226699,0.0017196055278487637,0.4646855274170827,True,True,0.9599562682632208,1.0
XLF,10,8,72,0.0038151755085006176,0.7740900689964559,0.5555555555555556,-0.0027485393105866054,0.006563714819087223,1.1128183525524884,0.2695400152169131,0.005039183805183276,0.5230484709332531,0.00808824583299117,1.1650723368825666,-0.0018237581112155949,-0.003472642496013708,0.0016488843847981133,0.4227529075220418,0.67375319817664,0.0006269339393924519,0.09673932507120182,0.0026708348302037746,0.6023329186196059,True,True,0.9599562682632208,1.0
XLY,7,8,72,0.005098365061818115,1.60161060216745,0.625,-0.0008781612116174974,0.005976526273435613,1.2829100870812373,0.20369577472308356,0.0009282559506831292,0.12095712174850858,0.011024796596188095,2.0947909588061364,-0.00021065622735686216,-0.0011335885405946656,0.0009229323132378035,0.4810819050165354,0.6319375838927792,0.00045986120333796804,0.14220826379506296,0.0013860034231376389,0.6560738790814321,True,True,0.9599562682632208,1.0
XLI,7,8,72,0.00570694391352455,1.563762461828928,0.6666666666666666,-8.28613273394808e-05,0.005789805240864031,1.173023178110003,0.24470692851007275,0.0011507333144735038,0.13974804554225378,0.010428877167254559,1.9102190349848798,0.0003979226243495732,-0.00033828865631664904,0.0007362112806662222,0.33295744885550477,0.7401475851830087,0.0006823385671283427,0.2041439396111115,0.0007900839942041019,0.26842491548242325,True,True,0.9599562682632208,1.0
RSP,7,8,72,0.004994004905803076,1.5757238737193622,0.6111111111111112,-0.0007251068446495702,0.005719111750452646,1.242932297962929,0.217981855807173,0.0013268142153932806,0.1718574242905482,0.010111409285512012,2.0146267466621257,-0.00031501638337190187,-0.0009805341736267386,0.0006655177902548366,0.5209055611867385,0.6040534214417894,0.0008584194680481195,0.41222631221819833,0.0004726161124615537,0.3127244828254183,True,True,0.9599562682632208,1.0
QQQ,4,8,72,0.007744292307918615,1.5768172532100928,0.6805555555555556,0.0021621652828721855,0.0055821270250464294,1.1174987227653654,0.2675483389082213,0.0004224325588007298,0.0577674145963312,0.010741821491292129,1.5797175932297511,0.0037051874683722177,-8.207688513672432e-05,0.003787264353508942,1.981388759470778,0.051420932155787705,0.0033193794183176187,0.9701423621603745,0.004255149288700266,2.4154265376511557,True,True,0.9599562682632208,1.0
XLE,10,5,72,0.00484476737350568,1.1211859004800395,0.5694444444444444,-0.0007003738382324722,0.005545141211738152,1.0462741369285715,0.2989834290048197,0.010304884397502396,1.193691243481034,0.0007853980259739087,0.12717278318921008,0.001639301895584701,-0.0011122884835973587,0.00275159037918206,0.75290129788436,0.4539984440174401,0.009033377508845523,1.434751741702164,-0.0035301967504814034,-1.0068631439743776,True,False,0.9599562682632208,1.0
