strategy,kind,cagr,stress_20bp_cagr,annual_vol,max_drawdown,ulcer_index,downside_deviation,cvar_5pct_daily,excess_cash_sharpe,sortino,calmar,cagr_2013_2016,cagr_2017_2021,worst_calendar_year,largest_year_abs_share,rolling_5y_target_share,bootstrap_90_low_excess_cash,bootstrap_90_high_excess_cash,bootstrap_one_sided_p,deflated_sharpe_probability,annual_traded_notional,passes_all_gates
C1_smelted_trend_downside,sector_candidate,0.1307429937363147,0.12747624980142414,0.12084403981694036,-0.1635240210455039,0.048537030685085164,0.08762853159171842,-0.019325155259960057,1.0233439896437755,1.2423347521029353,0.7995338721516199,0.1121501939855929,0.14585285626378108,-0.08279348956792365,0.21190749063647052,0.5724206349206349,0.0686796516758896,0.17791184673792626,0.0001999600079984003,0.9204162300250323,2.892089830716911,False
C2_asymmetric_sector_ferry,sector_candidate,0.10015717764486909,0.08773481691991747,0.1252558751299019,-0.2032892418031269,0.0462018817817396,0.09033373197377698,-0.019741060986620432,0.7726299567062004,0.9641118158963762,0.49268311867612324,0.10979254181368292,0.0925030997178975,-0.04786847403185013,0.3197786499264534,0.6130952380952381,0.04743994682080362,0.14347536109921383,0.0001999600079984003,0.7534235305949073,11.350303917158831,False
C3_woven_defensive_upside,sector_candidate,0.1398262014867011,0.13715935949974334,0.12874893517439903,-0.22940883251226707,0.0394776439129507,0.09186187830278889,-0.019921190113053412,1.0303817288207606,1.259214645599877,0.609506617314851,0.12692184491749647,0.15026432040433568,-0.026725549018479677,0.24281601376823903,0.9087301587301587,0.08160454654434025,0.18086003907648593,0.0001999600079984003,0.9240280765360152,2.3415083630577715,False
C4_downside_vol_budget,sector_candidate,0.09907864349361328,0.09645546385405623,0.10349400534331056,-0.14930475626481876,0.058426529727602844,0.07535381790329816,-0.01674725605533733,0.9014611332727203,1.0757931892935637,0.6636000484665039,0.10305065411039593,0.09590882349073904,-0.08116382038876169,0.24171159539004666,0.3878968253968254,0.0416671251315918,0.14393373900650988,0.0013997200559888023,0.8547464065060677,2.389100595590573,False
C5_low_ulcer_positive_trend,sector_candidate,0.13827399045921007,0.13474067880052654,0.12564678968684906,-0.16484480977793214,0.05428383620919079,0.09092509460838041,-0.01991545225798154,1.0418664056761486,1.2729936604441632,0.8388131276045846,0.11981116396249591,0.15327516717766,-0.052265999032832466,0.2643066277843712,0.6537698412698413,0.07368071362769997,0.18676301692085404,0.0001999600079984003,0.9280923286915037,3.107065623497771,False
SPY,benchmark,0.16502942294001666,0.16502942294001666,0.16444819538961772,-0.33717244676848723,0.04609804541083483,0.11809861226303972,-0.025439509450915547,0.9718919938927475,1.1200651983461063,0.4894510940074852,0.14220759027316343,0.18362964686596173,-0.045689906152365456,0.19290544842737564,0.9801587301587301,0.10248348521496127,0.20984053866360922,0.0001999600079984003,0.8949781976810444,,False
synthetic_spy_collar,benchmark,0.10636523553032884,0.10636523553032884,0.09391454930537911,-0.13920542895306254,0.04060014070182542,0.06455631575385741,-0.013524235531636668,1.0537122482280352,1.463114626361825,0.7640882710558163,0.06181244525719043,0.14337957860765504,-0.07410924215463122,0.19677971228497995,0.4583333333333333,0.06021490218940869,0.13686209316834264,0.0001999600079984003,0.9355920610678141,,False
spy_60_cash_40,benchmark,0.12307895327541041,0.12307895327541041,0.12423040419832729,-0.271330753575891,0.03587949676623443,0.08971253158620286,-0.01933407586125612,0.9441658001927797,1.0735916615437286,0.45361224871616085,0.09433660796928645,0.1466343075566563,-0.030345682176053046,0.19493383990279192,0.8888888888888888,0.07385688011419493,0.15753204605437263,0.0001999600079984003,0.8789186664071025,,False
