strategy,family,baseline,active_cagr_5bp,active_ir_5bp,active_cagr_10bp,active_ir_10bp,active_cagr_20bp,active_ir_20bp,active_cagr_2013_2016,active_ir_2013_2016,active_cagr_2017_2021,active_ir_2017_2021,bootstrap_90_low,bootstrap_one_sided_p,delete_best_year_cagr,largest_year_abs_share,leave_one_year_out_positive,positive_regimes,worst_regime_ir,target_vol_compliance,target_max_weight,target_weight_sum_error,realized_vol_ratio_median,realized_vol_band_share,annual_traded_notional_10bp,exposure_alpha,exposure_alpha_retention,deflated_sharpe_probability,family_spa_p,family_holm_p,family_holm_pass,passes_all_gates
S1_residual_momentum_dispersion,sector,sector_equal_weight,0.0013871867154462425,0.0424636702182997,-0.0026896662864506204,-0.06792978569385852,-0.01079513057590975,-0.28536047545016086,-0.006805038856072532,-0.21310262153813542,0.0006634191224408337,0.01868710116798595,-0.01749318623206214,0.6387361263873612,-0.005921827576313654,0.2691888556297496,2,1,-1.5379542432024749,1.0,0.3756087230157579,1.1102230246251565e-15,0.9853111973503818,0.8412698412698413,7.507560829380137,,,0.010605198479546562,0.7567243275672433,1.0,False,False
S2_credit_breadth_state,sector,sector_equal_weight,0.00026368571947821273,-0.021551421027563824,-0.0036792990979832574,-0.10822178271888051,-0.011519980593449386,-0.2793806069425246,-0.012336771849077222,-0.4044834204069367,0.0034002034406761528,0.02131760839343321,-0.020845140349806796,0.6736326367363263,-0.009375935057528095,0.2926328002750839,1,1,-0.5806842996685376,1.0,0.41703532411254074,2.2426505097428162e-14,0.9653724604519359,0.7301587301587301,7.281008609652612,,,0.009744283286289221,0.7567243275672433,1.0,False,False
S3_high_volume_loser,sector,sector_equal_weight,-0.013321655524284992,-0.3951700955401317,-0.02914673414539104,-0.87926185347804,-0.06012002469747735,-1.7943957768862058,-0.03594522249720056,-1.2227471581535228,-0.02359192919563169,-0.6547648542453604,-0.040774144048309806,0.9952004799520048,-0.03244849203881728,0.17598250876861204,0,0,-1.5888902764331136,1.0,0.6,3.3306690738754696e-16,0.9965977372336688,0.8231292517006803,28.518780658499402,,,4.95089773690298e-07,0.7567243275672433,1.0,False,False
S4_dynamic_macro_beta,sector,sector_equal_weight,0.009700690691809122,0.1753670968068893,0.005250412773531998,0.10095032763250239,-0.003593060595278974,-0.04702170993202777,0.010645608826283404,0.21049443266625062,0.0008878148973316957,0.0314774879340667,-0.01775070124204509,0.37176282371762825,-0.005848359453910157,0.2412780544214956,7,2,-0.014208588185996119,1.0,0.4065803807064324,3.007594173709549e-12,1.0163585156360075,0.6489795918367347,8.102004133209192,,,0.04660683431882739,0.7567243275672433,1.0,False,False
T1_macro_confirmed_hardware,technology,T1_macro_confirmed_hardware_train_static_shadow,0.0043459631200815085,0.18206063922508986,0.003671320824627733,0.15267728000655398,0.0023282081771445196,0.09399189719401767,0.004701960755729928,0.2445200443260124,0.0027858459124305845,0.09376778724903329,-0.006309662733166793,0.29427057294270575,0.00033040178096888084,0.21459006012680024,9,2,-0.6175770088718286,1.0,0.9285047814241693,2.304822999121825e-13,1.110064104265529,0.436281179138322,3.741395153863157,0.004055455932497899,1.384495111318889,0.07885617330028416,0.5988401159884011,1.0,False,False
T2_credit_stable_reversal,technology,T2_credit_stable_reversal_train_static_shadow,0.0007095934076162269,0.2799607612585256,0.00052261243552576,0.2091472331591459,0.00014885705750788958,0.06391561029814154,0.0010018042130033322,0.32049107221932926,0.00011935444983346422,0.0664694992547592,-0.0006395353365341582,0.31396860313968605,-0.00025329075110169796,0.5171134867750616,8,2,-0.16752022282532275,1.0,0.8279520573244925,2.220446049250313e-16,1.124947002968614,0.3528344671201814,0.5373439689277502,0.000405485468653398,0.8990761584915302,0.10967942932985941,0.5988401159884011,1.0,False,False
T3_negative_hardware_diffusion,technology,T3_negative_hardware_diffusion_train_static_shadow,-0.003716812179247686,-0.6094827882593973,-0.004892397144153682,-0.7723218141168045,-0.007239076903835517,-1.0300536165470726,-0.008280345054387572,-0.968507854291549,-0.0020014983366858363,-0.6291426290448526,-0.007396899856701947,1.0,-0.004618059472952463,0.5424183165767877,0,1,-0.9698810812679293,1.0,0.9867629914637678,1.1102230246251565e-16,1.0775925394153434,0.6126984126984127,2.2644060410729123,-0.003655957016940346,,1.314061739356985e-12,0.5988401159884011,1.0,False,False
T4_residual_breadth_compression,technology,T4_residual_breadth_compression_train_static_shadow,-0.007323849560199491,-0.3119663904475417,-0.00993514489162406,-0.4303463140186604,-0.015139907950290743,-0.6594249659902471,-0.019214243874949632,-0.9923059056207345,-0.00209976914488208,-0.060718715853370304,-0.01823558887128159,0.9366063393660634,-0.012164319231802834,0.29121994642891763,0,1,-1.2274852415344788,1.0,1.0,4.82502926502093e-13,1.0118918794949634,0.9342403628117913,4.522965827418241,-0.011672722278309356,,6.285121791949118e-05,0.5988401159884011,1.0,False,False
