date,PriceUSD,FlowInExNtv,FlowOutExNtv,SplyExNtv,CapMVRVCur,IRX,rf
2013-01-01,13.331371422,2033.98013827,3983.7467148,68201.8257517,1.77533304,0.035000000149,9.58904113672e-07
2013-01-02,13.280606813,6243.88259072,7134.66597731,67311.0423651,1.7682754,0.054999999702,1.5068493069e-06
2013-01-03,13.3840811485,7377.50972846,7219.13629728,67469.4157963,1.78037669,0.0649999976158,1.78082185249e-06
2013-01-04,13.4517211496,7802.4489434,6694.01150803,68577.8532317,1.78670376,0.0649999976158,1.78082185249e-06
2013-01-05,13.4594067668,11249.1213673,7447.22158426,72379.7530147,1.78641402,0.0649999976158,1.78082185249e-06
2013-01-06,13.5044965079,3970.56204709,9086.25627251,67264.0587892,1.79112313,0.0649999976158,1.78082185249e-06
2013-01-07,13.5560616578,12342.2901402,9189.96842111,70416.3805084,1.79609055,0.0579999983311,1.58904105017e-06
2013-01-08,13.7803506312,10756.25392,13431.2353571,67741.3990713,1.82064961,0.0599999986589,1.6438355797e-06
2013-01-09,13.8209552566,6714.15240279,7605.82628956,66849.7251845,1.82378518,0.054999999702,1.5068493069e-06
2013-01-10,14.1231728556,10166.1957394,7696.70696103,69319.2139628,1.85730887,0.054999999702,1.5068493069e-06
2013-01-11,14.2276211227,9628.78080359,8645.36058127,70302.6341852,1.86676138,0.0630000010133,1.72602742502e-06
2013-01-12,14.214285656,5293.9136427,4682.88332215,70913.6645057,1.86299654,0.0630000010133,1.72602742502e-06
2013-01-13,14.1607882671,7824.3603764,6578.24491473,72159.7799674,1.85333941,0.0630000010133,1.72602742502e-06
2013-01-14,14.3179703203,8154.79448769,11008.5243266,69306.0501285,1.87068729,0.0599999986589,1.6438355797e-06
2013-01-15,14.3136377516,11797.2431699,11249.6991133,69853.5941851,1.86625363,0.0799999982119,2.19178077293e-06
2013-01-16,14.7078140479,9235.95771551,14920.1083348,64169.4435659,1.91141576,0.0719999969006,1.97260265481e-06
2013-01-17,15.5985997396,16031.4273997,10980.9448538,69219.9261118,2.0121271,0.070000000298,1.91780822734e-06
2013-01-18,15.7157911239,22719.7824858,14409.9618792,77529.7467184,2.01889919,0.070000000298,1.91780822734e-06
2013-01-19,15.5881263998,5127.98232931,6199.35373325,76458.3753145,1.99859889,0.070000000298,1.91780822734e-06
2013-01-20,15.7195921373,9247.41781536,7976.37462963,77729.4185002,2.01174993,0.070000000298,1.91780822734e-06
2013-01-21,16.7810195207,19739.5000775,21092.4273296,76376.4912482,2.13015937,0.070000000298,1.91780822734e-06
2013-01-22,17.3001788387,14976.1704334,12222.3381303,79130.3235512,2.1703499,0.0599999986589,1.6438355797e-06
2013-01-23,17.5363954229,13691.2282102,12901.0326174,79920.5191441,2.18559134,0.070000000298,1.91780822734e-06
2013-01-24,16.9010860722,21538.9676685,20218.7296853,81240.7571273,2.09953529,0.0750000029802,2.0547946022e-06
2013-01-25,17.4072020292,12476.1237706,12942.5870514,80774.2938465,2.15223509,0.070000000298,1.91780822734e-06
2013-01-26,17.5536291761,4863.17305205,8869.90523972,76767.5616589,2.16087068,0.070000000298,1.91780822734e-06
2013-01-27,17.8646280148,6682.41517618,6395.08518639,77054.8916487,2.18079976,0.070000000298,1.91780822734e-06
2013-01-28,18.7942648743,10235.4973514,8745.79650412,78544.5924959,2.27526587,0.0599999986589,1.6438355797e-06
2013-01-29,19.5147141861,17302.3817774,14714.6284128,81132.3458606,2.32416991,0.0630000010133,1.72602742502e-06
2013-01-30,19.7374466864,11017.8507959,9038.83285321,83111.3638032,2.32557517,0.0599999986589,1.6438355797e-06
2013-01-31,20.5116430307,16184.5722315,10175.5946143,89120.3414205,2.38254625,0.0649999976158,1.78082185249e-06
2013-02-01,20.4430919562,13960.7778877,13522.0676711,89559.051637,2.33077644,0.0599999986589,1.6438355797e-06
2013-02-02,19.6359017054,10895.9663581,9245.56087971,91209.4571154,2.2350697,0.0599999986589,1.6438355797e-06
2013-02-03,20.5789396832,6062.10560964,10031.569864,87239.992861,2.32891208,0.0599999986589,1.6438355797e-06
2013-02-04,20.4404879614,9467.22657143,11395.9467613,85311.2726712,2.30317042,0.054999999702,1.5068493069e-06
2013-02-05,20.6593447276,7557.13810227,8013.53957211,84854.8712013,2.31494333,0.070000000298,1.91780822734e-06
2013-02-06,21.2085655319,10389.4056841,19083.0486332,76161.2282522,2.36137756,0.0649999976158,1.78082185249e-06
2013-02-07,22.1177651789,9546.27597173,8176.14289052,77531.3613334,2.44320117,0.0649999976158,1.78082185249e-06
2013-02-08,22.7873650499,10613.2329959,12011.3585776,76133.2357518,2.48951622,0.0649999976158,1.78082185249e-06
2013-02-09,23.7338601537,9450.10938642,4958.57867594,80624.7664623,2.57029343,0.0649999976158,1.78082185249e-06
2013-02-10,23.9002893571,5728.62844583,5804.50072313,80548.894185,2.57573299,0.0649999976158,1.78082185249e-06
2013-02-11,24.4972726949,12051.6935129,17004.1322331,75596.4554648,2.61956557,0.0649999976158,1.78082185249e-06
2013-02-12,24.9797364074,17107.0364715,11575.5007104,81127.991226,2.64695645,0.082999996841,2.27397251619e-06
2013-02-13,24.6416509348,13819.3152355,10491.3705542,84455.9359073,2.58643345,0.0850000008941,2.32876714778e-06
2013-02-14,27.2823898203,13880.7115193,17933.6807212,80402.9667055,2.81731895,0.0949999988079,2.60273969337e-06
2013-02-15,27.1712692291,10593.703014,11411.9078085,79584.7619109,2.76388477,0.0949999988079,2.60273969337e-06
2013-02-16,27.346163562,9013.66900449,7947.96407092,80650.4668445,2.75541364,0.0949999988079,2.60273969337e-06
2013-02-17,26.9272513764,11870.1352057,7376.01111458,85144.5909356,2.69341809,0.0949999988079,2.60273969337e-06
2013-02-18,26.9288676371,12062.8566049,8701.94611453,88505.501426,2.67527962,0.0949999988079,2.60273969337e-06
2013-02-19,29.4136243808,13522.8614922,13354.8591695,88673.5037487,2.87905367,0.10000000149,2.73972606822e-06
2013-02-20,29.8198072276,8214.2369169,9947.90751701,86939.8331486,2.88625353,0.115000002086,3.15068498866e-06
2013-02-21,29.8180689158,14215.4751999,14193.9958374,86961.3125111,2.8644687,0.119999997318,3.28767115939e-06
2013-02-22,30.4726565324,12999.2754407,18713.0969716,81247.4909802,2.89510636,0.119999997318,3.28767115939e-06
2013-02-23,29.8064545459,10699.758136,8990.12689891,82957.1222173,2.81513609,0.119999997318,3.28767115939e-06
2013-02-24,29.8828484924,9460.38770577,9810.07272435,82607.4371987,2.78872419,0.119999997318,3.28767115939e-06
2013-02-25,30.352033095,8563.04127701,9823.41293902,81347.0655367,2.77552491,0.115000002086,3.15068498866e-06
2013-02-26,31.1555373507,11487.4316996,10888.3345213,81946.162715,2.82058485,0.109999999404,3.01369861381e-06
2013-02-27,31.240261083,10206.6444997,12130.116548,80022.6906668,2.81550442,0.10000000149,2.73972606822e-06
2013-02-28,33.3752939366,20531.5848961,13684.7917782,86869.4837847,2.93242114,0.10000000149,2.73972606822e-06
2013-03-01,34.6062570341,12001.5536983,6928.66451174,91942.3729712,2.99916694,0.10000000149,2.73972606822e-06
2013-03-02,34.143515924,8368.73958341,5965.42174566,94345.690809,2.94238341,0.10000000149,2.73972606822e-06
2013-03-03,34.4517404845,4553.35602737,4357.25393781,94541.7928986,2.95351788,0.10000000149,2.73972606822e-06
2013-03-04,36.3762652507,15120.3140809,15801.7792045,93860.327775,3.07990408,0.0850000008941,2.32876714778e-06
2013-03-05,40.6729539903,20448.7796265,18912.855723,95396.2516784,3.34059331,0.0850000008941,2.32876714778e-06
2013-03-06,43.2849961852,27197.3952598,12749.2553731,109844.391565,3.41073072,0.0920000001788,2.5205479501e-06
2013-03-07,41.9474407158,23331.7598544,21921.9612699,111254.19015,3.24461202,0.0900000035763,2.46575352264e-06
2013-03-08,43.902928915,9508.76751926,15341.6196546,105421.338014,3.35334641,0.0869999974966,2.38356157525e-06
2013-03-09,46.8885866123,8998.51663744,7492.87945432,106926.975197,3.50857536,0.0869999974966,2.38356157525e-06
2013-03-10,46.066038459,8858.91663291,9971.75373539,105814.138095,3.41442475,0.0869999974966,2.38356157525e-06
2013-03-11,48.2750745772,13431.4748185,16879.4937265,102366.119187,3.52669627,0.0869999974966,2.38356157525e-06
2013-03-12,44.4135452582,18611.5881267,13645.8543477,107331.852966,3.21775227,0.0920000001788,2.5205479501e-06
2013-03-13,47.0161908516,18004.435715,20183.0239447,105153.264736,3.35448171,0.0850000008941,2.32876714778e-06
2013-03-14,46.9255625535,17188.2570188,15634.4523964,106707.069359,3.31080577,0.0900000035763,2.46575352264e-06
2013-03-15,46.9025172478,11218.5526432,11726.8777778,106198.744224,3.27320999,0.082999996841,2.27397251619e-06
2013-03-16,47.1570156996,8228.39012903,7833.9761741,106593.158179,3.26643484,0.082999996841,2.27397251619e-06
2013-03-17,47.3334997838,6990.1204242,6517.26277388,107066.015829,3.25507816,0.082999996841,2.27397251619e-06
2013-03-18,51.3654363913,13355.6774299,14999.6021154,105422.091144,3.46957223,0.0719999969006,1.97260265481e-06
2013-03-19,59.4986011114,26315.1857033,25693.3480473,106043.9288,3.86035942,0.070000000298,1.91780822734e-06
2013-03-20,63.6874854982,20582.092403,16450.7732085,110175.247994,4.00566845,0.0630000010133,1.72602742502e-06
2013-03-21,70.9175250053,28117.9436656,23984.3927176,114308.798942,4.23461019,0.0599999986589,1.6438355797e-06
2013-03-22,69.8460845418,17100.2120903,13174.3283182,118234.682714,4.05568242,0.0649999976158,1.78082185249e-06
2013-03-23,64.3831163705,18855.1326868,14391.9240458,122697.891355,3.70672564,0.0649999976158,1.78082185249e-06
2013-03-24,71.6904242065,9424.03564742,8794.717231,123327.209772,4.02556381,0.0649999976158,1.78082185249e-06
2013-03-25,74.3140892496,13813.6723657,15823.8840404,121316.998097,4.02378239,0.0579999983311,1.58904105017e-06
2013-03-26,78.614197432,17413.2009084,12355.4050589,126374.793947,4.15075356,0.0719999969006,1.97260265481e-06
2013-03-27,88.8520799138,14191.7741682,19619.2330929,120947.335022,4.49610198,0.0799999982119,2.19178077293e-06
2013-03-28,87.6731739608,24463.6000831,17356.9599334,128053.975171,4.28052357,0.0649999976158,1.78082185249e-06
2013-03-29,90.2956993583,19118.9448086,16329.0577132,130843.862267,4.30087359,0.0649999976158,1.78082185249e-06
2013-03-30,92.1899599883,9860.15051767,11449.280523,129254.732262,4.24924608,0.0649999976158,1.78082185249e-06
2013-03-31,93.8992384231,8779.34423453,9429.78210148,128604.294395,4.26532297,0.0649999976158,1.78082185249e-06
2013-04-01,103.580346911,24348.9053393,20073.1324411,132880.067293,4.45266486,0.0649999976158,1.78082185249e-06
2013-04-02,116.679944241,42100.0882979,47796.8901282,127183.265462,4.75336825,0.0680000036955,1.86301379988e-06
2013-04-03,131.384809378,42321.1413943,45039.9804233,124464.426434,4.85046378,0.054999999702,1.5068493069e-06
2013-04-04,133.007120476,21217.4598274,25705.1850353,119976.701226,4.73920513,0.0649999976158,1.78082185249e-06
2013-04-05,142.626065488,28191.8076743,19209.1819267,128959.326973,4.71276367,0.0599999986589,1.6438355797e-06
2013-04-06,143.081822965,23343.718377,30580.8572036,121722.188147,4.6145611,0.0599999986589,1.6438355797e-06
2013-04-07,162.852214577,16786.4606188,17913.2127542,120595.436011,5.04960835,0.0599999986589,1.6438355797e-06
2013-04-08,186.351161848,22671.8891259,18442.8343649,124824.490772,5.33290242,0.054999999702,1.5068493069e-06
2013-04-09,230.682996695,28148.0809772,21772.3971142,131200.174635,5.64074143,0.0630000010133,1.72602742502e-06
2013-04-10,161.192889661,47034.4293689,41053.6621466,137180.941858,3.7993504,0.0649999976158,1.78082185249e-06
2013-04-11,82.901585038,64479.8682494,52895.214862,148765.595245,2.09881888,0.0630000010133,1.72602742502e-06
2013-04-12,111.476373194,41772.9424512,48427.36823,142111.169466,2.84072926,0.054999999702,1.5068493069e-06
2013-04-13,97.6090718703,24566.4947923,21947.2058336,144730.458425,2.50198944,0.054999999702,1.5068493069e-06
2013-04-14,88.8614913998,16732.6310493,11272.5904536,150190.49902,2.29456796,0.054999999702,1.5068493069e-06
2013-04-15,80.874693166,43461.652371,23349.1658302,170302.985561,2.11528578,0.054999999702,1.5068493069e-06
2013-04-16,68.2831387271,36958.0086945,37613.5611304,169647.433125,1.81094891,0.0520000010729,1.42465756364e-06
2013-04-17,92.8640369135,22933.7772239,31330.919053,161250.291296,2.42321708,0.0500000007451,1.36986303411e-06
2013-04-18,108.628345092,24699.3063085,20138.5218288,165811.075776,2.78425484,0.0500000007451,1.36986303411e-06
2013-04-19,119.012283239,21861.9073894,20247.9761407,167425.007025,3.00006559,0.0450000017881,1.23287676132e-06
2013-04-20,128.208288893,10233.4087833,15492.3331827,162166.082625,3.18525555,0.0450000017881,1.23287676132e-06
2013-04-21,118.483243756,14893.5519938,18022.0591631,159037.575456,2.91485166,0.0450000017881,1.23287676132e-06
2013-04-22,126.31427176,13280.6980046,17011.9046191,155306.368842,3.07341776,0.0450000017881,1.23287676132e-06
2013-04-23,142.127218053,12903.9497277,12002.2162002,156208.102369,3.38292483,0.0450000017881,1.23287676132e-06
2013-04-24,154.133277805,25458.3045626,22792.9760502,158873.430882,3.50996743,0.0480000004172,1.31506850458e-06
2013-04-25,141.008659278,21161.7540671,22262.4005138,157772.784435,3.16156158,0.0500000007451,1.36986303411e-06
2013-04-26,137.20960042,13661.6834673,14796.1462864,156638.321616,3.0583438,0.0450000017881,1.23287676132e-06
2013-04-27,128.226669605,13906.9203359,13866.3715689,156678.870383,2.83739563,0.0450000017881,1.23287676132e-06
2013-04-28,134.623569562,12638.8584517,7715.6551515,161602.073683,2.9627086,0.0450000017881,1.23287676132e-06
2013-04-29,143.810378193,14711.6109025,16035.4702462,160278.214339,3.11966325,0.0450000017881,1.23287676132e-06
2013-04-30,139.129647545,17926.5702342,13899.655608,164305.128965,3.00006777,0.0450000017881,1.23287676132e-06
2013-05-01,116.11380104,27730.8625037,18835.0547338,173200.936735,2.52047369,0.0500000007451,1.36986303411e-06
2013-05-02,106.340984697,25816.0736064,23707.5202012,175309.490141,2.32100761,0.0500000007451,1.36986303411e-06
2013-05-03,96.3168402741,32792.8942042,26552.6530099,181549.731335,2.10886798,0.0450000017881,1.23287676132e-06
2013-05-04,112.497636369,11448.5468541,13093.1065367,179905.171652,2.45598818,0.0450000017881,1.23287676132e-06
2013-05-05,116.488715827,9301.12623369,11319.5989787,177886.698907,2.53233335,0.0450000017881,1.23287676132e-06
2013-05-06,112.118596195,18633.2594883,21819.7995554,174700.15884,2.43394807,0.0299999993294,8.21917789848e-07
2013-05-07,111.609212873,14869.3451372,12299.5576054,177269.946372,2.41884231,0.035000000149,9.58904113672e-07
2013-05-08,113.136061855,18305.1175235,16844.4209048,178730.642991,2.44959787,0.035000000149,9.58904113672e-07
2013-05-09,111.974532711,8937.74435597,9871.83166181,177796.555685,2.42161822,0.035000000149,9.58904113672e-07
2013-05-10,117.691036884,19144.319553,19874.3082219,177066.567016,2.54554421,0.035000000149,9.58904113672e-07
2013-05-11,115.499777663,9455.29997947,8211.55790756,178310.309088,2.486801,0.035000000149,9.58904113672e-07
2013-05-12,114.88567556,7731.11291349,9291.10871749,176750.313284,2.46930854,0.035000000149,9.58904113672e-07
2013-05-13,117.404456646,9466.99551057,9177.69051531,177039.618279,2.5169175,0.035000000149,9.58904113672e-07
2013-05-14,107.865566569,18964.7866582,16454.0161309,179550.388806,2.31657619,0.0399999991059,1.09589038646e-06
2013-05-15,108.986852425,19856.4786027,15459.2884777,183947.578931,2.33507149,0.0370000004768,1.0136986432e-06
2013-05-16,112.91787405,24074.995721,17924.3415504,190098.233102,2.41471463,0.0250000003725,6.84931517056e-07
2013-05-17,117.284616014,15877.8070135,13193.2751117,192782.765004,2.50090692,0.0299999993294,8.21917789848e-07
2013-05-18,118.16987668,13038.8272836,12332.1992037,193489.393084,2.50453812,0.0299999993294,8.21917789848e-07
2013-05-19,117.033880187,10095.5922611,9268.38269054,194316.602654,2.47744864,0.0299999993294,8.21917789848e-07
2013-05-20,117.81863647,9156.14636908,7063.59909025,196409.149933,2.48938747,0.035000000149,9.58904113672e-07
