policy_id,family,policy,entries,entries_per_year,assignments,assignment_rate,stock_time,mean_stock_days,timeout_share,discovery_CAGR,discovery_AnnVol,discovery_Sharpe,discovery_MaxDD,discovery_Calmar,discovery_CashCAGR,discovery_ExcessCAGR,discovery_ExcessVol,discovery_ExcessSharpe,validation_CAGR,validation_AnnVol,validation_Sharpe,validation_MaxDD,validation_Calmar,validation_CashCAGR,validation_ExcessCAGR,validation_ExcessVol,validation_ExcessSharpe,holdout_CAGR,holdout_AnnVol,holdout_Sharpe,holdout_MaxDD,holdout_Calmar,holdout_CashCAGR,holdout_ExcessCAGR,holdout_ExcessVol,holdout_ExcessSharpe,worst_pre_holdout_excess,worst_pre_holdout_drawdown,eligible_pre_holdout,discovery_vs_baseline,validation_vs_baseline,holdout_vs_baseline,selection_score,pre_holdout_rank
price_and_iv25,Assignment exit,Breakeven AND VXN ≤25% OR 126d,102,5.234719685260644,9,0.08823529411764706,0.09914320685434516,54.0,0.2222222222222222,0.04090123186001726,0.06711274842159111,0.6308573759286148,-0.19612066104291348,0.20855136650323444,0.004751036180834944,0.03615019567918232,0.0671222461785603,0.5601456258428698,0.0613569368028033,0.06969258143342175,0.8894816786761881,-0.08059268643369633,0.7613213992225176,0.008935714698060204,0.05242122210474309,0.06973426043496508,0.7613735502945642,0.06459880037999755,0.06834075854031378,0.9501971217156545,-0.10536774343041111,0.6130794707837799,0.039657766161707464,0.02494103421829008,0.06833954344849529,0.3810527403628028,0.03615019567918232,-0.19612066104291348,True,0.0016664339758649671,0.010345292200981682,-0.016191311164034605,0.03615019567918232,3
baseline,Baseline,Always sell; exit QQQ at breakeven or 126d,107,5.491323591400872,8,0.07476635514018691,0.05426356589147287,33.25,0.0,0.039234797884152295,0.061809185946190136,0.6535227618478389,-0.12004013257948443,0.32684733881123484,0.004751036180834944,0.03448376170331735,0.061812776409420574,0.5767961287490986,0.051011644601821615,0.06493967062140747,0.798829619827885,-0.08337784847420504,0.6118129159641641,0.008935714698060204,0.04207592990376141,0.06497720449864776,0.6614516559418872,0.08079011154403215,0.06970772339556537,1.149463279091857,-0.0750304193378577,1.076764760972998,0.039657766161707464,0.041132345382324687,0.06971448008230116,0.5914158222071196,0.03448376170331735,-0.12004013257948443,True,0.0,0.0,0.0,0.03448376170331735,4
price_or_iv25,Assignment exit,Breakeven OR VXN ≤25% OR 126d,108,5.542644372628917,14,0.12962962962962962,0.045491636066911464,15.928571428571429,0.0,0.03789301170455506,0.06244763224815068,0.6267802262108396,-0.12004013257948443,0.31566952560190026,0.004751036180834944,0.03314197552372011,0.062450442289658493,0.5508463997794675,0.046730690675684805,0.06931312145994076,0.6937251848773122,-0.11876347667546927,0.39347695085906054,0.008935714698060204,0.0377949759776246,0.06934519495271795,0.5651120477172046,0.08057290617340995,0.07100459604379138,1.1269189513719342,-0.07724653904807444,1.04306169786151,0.039657766161707464,0.04091514001170249,0.07101097842765781,0.579068252150187,0.03314197552372011,-0.12004013257948443,True,-0.0013417861795972374,-0.00428095392613681,-0.0002172053706221977,0.03314197552372011,5
iv_exit_25,Assignment exit,VXN ≤ 25% OR 126d,102,5.234719685260644,10,0.09803921568627451,0.09832721338229294,48.2,0.2,0.03771656803904233,0.06779641416357905,0.5799744414761462,-0.19612066104291348,0.1923130782778134,0.004751036180834944,0.032965531858207386,0.06780431903946532,0.5099947637782001,0.068502775081831,0.07837699910098568,0.8847863681446225,-0.10301928583409947,0.6649509800732527,0.008935714698060204,0.0595670603837708,0.07841870203511221,0.7708677385839261,0.0629187209722546,0.07621567591274797,0.8387307626727231,-0.10364161197029553,0.6070797219005777,0.039657766161707464,0.02326095481054713,0.07620763429679488,0.3284212987607476,0.032965531858207386,-0.19612066104291348,True,-0.001518229845109964,0.017491130480009387,-0.017871390571777557,0.032965531858207386,6
price_strike_126,Assignment exit,Strike target OR 126d,104,5.337361247716735,9,0.08653846153846154,0.08241534067727459,44.888888888888886,0.2222222222222222,0.03268336665088145,0.06403131165500822,0.5342730068600213,-0.1899492433087987,0.17206368439040534,0.004751036180834944,0.027932330470046507,0.06403630757454408,0.4602055109107184,0.04817017395134737,0.07324995519423744,0.6790348600938575,-0.0894286587270523,0.5386435918531318,0.008935714698060204,0.03923445925328717,0.07327980491657676,0.5573543794713272,0.05718947081133918,0.07427851276257712,0.7858503351749475,-0.13179784135514538,0.433918114464676,0.039657766161707464,0.01753170464963172,0.07420865414920805,0.2624434120167501,0.027932330470046507,-0.1899492433087987,True,-0.0065514312332708435,-0.0028414706504742426,-0.023600640732692968,0.027932330470046507,7
price_be_21,Assignment exit,Breakeven OR 21d,110,5.645285935085008,13,0.11818181818181818,0.029783761729906162,11.23076923076923,0.3076923076923077,0.03208088169602541,0.05786680581486461,0.5746054702598524,-0.12004013257948443,0.26725130176595807,0.004751036180834944,0.027329845515190465,0.05786727924389065,0.4926833224799038,0.048350556955922386,0.05945476422761023,0.824116811338902,-0.07705081055668161,0.6275152280241596,0.008935714698060204,0.03941484225786218,0.05949047494000062,0.6740779574287618,0.07058950762580496,0.06988462999210357,1.0109471976720583,-0.07851164809546063,0.899095985604285,0.039657766161707464,0.030931741464097495,0.06982811271786771,0.45473732369773656,0.027329845515190465,-0.12004013257948443,True,-0.007153916188126885,-0.0026610876458992294,-0.010200603918227191,0.027329845515190465,8
price_strike_63,Assignment exit,Strike target OR 63d,108,5.542644372628917,11,0.10185185185185185,0.04732762137902897,21.09090909090909,0.18181818181818182,0.030345104968407144,0.060967760413719346,0.5208156311363888,-0.1899492433087987,0.15975375547601098,0.004751036180834944,0.0255940687875722,0.060972059391355804,0.4430328107916859,0.048860340785091605,0.0690990160746889,0.7250999515846853,-0.12445521525807557,0.3925937589981484,0.008935714698060204,0.0399246260870314,0.06913165019705324,0.5960690973339586,0.0813408695723894,0.06587776514756592,1.2200981115748961,-0.08434792462601393,0.9643493889510932,0.039657766161707464,0.04168310341068193,0.06583128115979493,0.6301125295731702,0.0255940687875722,-0.1899492433087987,True,-0.008889692915745151,-0.0021513038167300103,0.0005507580283572455,0.0255940687875722,10
fixed_21,Assignment exit,Fixed hold 21d,108,5.542644372628917,12,0.1111111111111111,0.051407588739290085,21.0,1.0,0.02994566424666889,0.05624530699944106,0.5527052792737241,-0.19363612309393163,0.15464916239901397,0.004751036180834944,0.025194628065833946,0.05625392578106377,0.4683537722961525,0.058398701528054486,0.06602917023283215,0.8927074075412507,-0.0906133049382627,0.644482634949063,0.008935714698060204,0.04946298682999428,0.06605230525404997,0.7577067342012416,0.0817517633001017,0.06951932539742307,1.165159429341733,-0.0970969510514208,0.8419601482317136,0.039657766161707464,0.042093997138394235,0.06948042447811582,0.6059962366359277,0.025194628065833946,-0.19363612309393163,True,-0.009289133637483404,0.007387056926232871,0.0009616517560695481,0.025194628065833946,11
price_be_63,Assignment exit,Breakeven OR 63d,107,5.491323591400872,11,0.102803738317757,0.05426356589147287,24.181818181818183,0.18181818181818182,0.028346742649316914,0.060849557711915726,0.48978043788448444,-0.12004013257948443,0.23614387988573032,0.004751036180834944,0.02359570646848197,0.0608495075539826,0.41187816075670997,0.05395592769525592,0.06643946193780155,0.8243700373760607,-0.08843439730834646,0.6101237678719789,0.008935714698060204,0.04502021299719572,0.06647807156440391,0.6900658782847828,0.07869743293761866,0.07128425883347725,1.0983982929631388,-0.07503041933785692,1.04887369192553,0.039657766161707464,0.0390396667759112,0.07128687015135243,0.5527285232118962,0.02359570646848197,-0.12004013257948443,True,-0.010888055234835381,0.002944283093434308,-0.0020926786064134895,0.02359570646848197,13
iv_rv_5,Entry filter,VXN − 21d RV ≥ 5pp,89,4.567549529296052,10,0.11235955056179775,0.0467156262749898,22.9,0.1,0.026654529746960032,0.06061357804658648,0.46426015609856064,-0.17254463327552438,0.15447904255820746,0.004751036180834944,0.021903493566125087,0.060608903985355685,0.38608402231330635,0.04233855361421779,0.0693051662793756,0.6330662154364171,-0.09800642987397057,0.43199771350371824,0.008935714698060204,0.033402838916157584,0.06933471441005899,0.5044847554958629,0.07746397328376142,0.051672357953239226,1.4698468342782016,-0.05975695271153958,1.2963173282563063,0.039657766161707464,0.03780620712205396,0.05165057240495273,0.7174021172905125,0.021903493566125087,-0.17254463327552438,True,-0.012580268137192263,-0.008673090987603826,-0.003326138260270728,0.021903493566125087,14
