iv_multiplier,spread_fraction,discovery_rmse,discovery_corr,validation_rmse,validation_corr
1.15,0.1,0.019392413554678918,0.8425283445559645,0.012427035673812257,0.903168313983341
1.075,0.1,0.019455258625142958,0.8413171838012201,0.012021705310325844,0.904471589999521
1.075,0.05,0.019577812533810742,0.8388434538555597,0.01247257952581077,0.900006706283422
1.0,0.1,0.019590559177923753,0.8411374744662256,0.011800820293955516,0.9053964693286326
1.0,0.05,0.019598767669507407,0.8391379479650094,0.012101350983274174,0.9014168388864854
1.15,0.05,0.01965113855278381,0.8395179656418246,0.013032078775219266,0.8981573728102585
1.0,0.0,0.019689700058889953,0.8366618433646633,0.012498937779535913,0.8969585729093144
1.075,0.0,0.019794971928813725,0.8358259892932219,0.013023358846682974,0.895010161977384
0.925,0.0,0.019814359277898413,0.8360987402384399,0.012232672574948752,0.8976953508983986
0.925,0.05,0.019829864073330906,0.8381427086042665,0.011973546301884777,0.9017432394997893
0.925,0.1,0.0199149625517822,0.8397762536560368,0.011804104255259837,0.9053571415073599
1.15,0.0,0.02001683339138525,0.8358726497473247,0.013735652880738922,0.8925588677814715
0.85,0.0,0.020092997874124448,0.8354239970006591,0.012169862448118919,0.8980216978301149
0.85,0.05,0.020194145405147076,0.8370636646827758,0.012040122602579667,0.9016203874731649
0.85,0.1,0.0203523001990421,0.8383520477918315,0.011988524023399597,0.9048353227610892
