date,event,spot,strike,shares,equity,model_mid,fill,fill_delta,signal_spot,signal_iv,signal_iv_raw,signal_iv_threshold,signal_realized_vol,commission,expiry,recovery_price,reason,stock_days,exit_cost
2007-01-05,put_entry,37.56139373779297,36.0,0.02083608145348148,0.9989199149815369,0.5166807677009828,0.46501269093088454,-0.2595874150063886,37.74128341674805,0.19538499736785886,0.16989999771118164,,,0.00013543452944762962,2007-03-08,,,,
2007-03-08,expiry_otm,36.80759811401367,36.0,0.02083608145348148,1.0181393989763103,,,,,,,,,,,,,,
2007-03-09,put_entry,36.773338317871094,35.0,0.021820175297158823,1.017054054314134,0.4944789546763939,0.4450310592087545,-0.24413183162177315,36.80759811401367,0.22758501052856445,0.19790000915527345,,,0.00014183113943153235,2007-05-09,,,,
2007-05-09,expiry_otm,40.13929748535156,35.0,0.021820175297158823,1.0360861277953073,,,,,,,,,,,,,,
2007-05-10,put_entry,39.59074401855469,38.0,0.020451667973580154,1.0349968651864996,0.5320069579681626,0.4788062621713463,-0.2610210377523812,40.13929748535156,0.18733501052856444,0.16290000915527345,,,0.000132935841828271,2007-07-11,,,,
2007-07-11,expiry_otm,41.869117736816406,38.0,0.020451667973580154,1.054039445785692,,,,,,,,,,,,,,
2007-07-12,put_entry,42.51246643066406,40.0,0.019765790984865406,1.0533259149001755,0.3648357163124514,0.32835214468120627,-0.1862817865775756,41.869117736816406,0.20171001052856444,0.17540000915527343,,,0.00012847764140162514,2007-09-11,,,,
2007-09-11,expiry_otm,41.972049713134766,40.0,0.019765790984865406,1.068131076075926,,,,,,,,,,,,,,
2007-09-12,put_entry,41.98065185546875,39.0,0.020543166581453047,1.0663062099270826,0.8785995666928663,0.7907396100235797,-0.2494265893663954,41.972049713134766,0.3164800052642822,0.2752000045776367,,,0.0001335305827794448,2007-11-09,,,,
2007-11-09,expiry_otm,42.91220474243164,39.0,0.020543166581453047,1.0907269134215043,,,,,,,,,,,,,,
2007-11-12,put_entry,41.822227478027344,39.0,0.020980780712446582,1.0879446000139703,1.391569741200815,1.2524127670807335,-0.29447955205222776,42.91220474243164,0.37398000526428216,0.3252000045776367,,,0.0001363750746309028,2008-01-14,,,,
2008-01-14,expiry_otm,41.12696075439453,39.0,0.020980780712446582,1.12282274488431,,,,,,,,,,,,,,
2008-01-15,put_entry,39.99287796020508,38.0,0.02216277896031711,1.1203472173206306,1.0932106528093293,0.9838895875283964,-0.3082275081331052,41.12696075439453,0.3229199991226196,0.28079999923706056,,,0.00014405806324206121,2008-03-17,,,,
2008-03-17,assignment,35.637081146240234,38.0,0.02216277896031711,1.0958915960748024,,,,,,,,,,,37.02261041247161,,,
2008-03-19,stock_exit,36.30720138549805,37.02261041247161,0.02216277896031711,1.1105961456266231,,,,37.22647476196289,0.28450000762939454,,,,,,,price_target,2.0,0.00016093369579490247
2008-03-20,put_entry,37.049217224121094,33.0,0.02524110767459027,1.1091375200581601,0.5178657136520544,0.46607914228684894,-0.17770512290861495,36.30720138549805,0.35972000789642333,0.3128000068664551,,,0.0001640671998848368,2008-05-20,,,,
2008-05-20,expiry_otm,42.362831115722656,33.0,0.02524110767459027,1.1244400681589564,,,,,,,,,,,,,,
2008-05-21,put_entry,41.425636291503906,39.0,0.02162483375060787,1.1227432015446355,0.7434008909084096,0.6690608018175687,-0.2604535492906015,42.362831115722656,0.24575500965118408,0.213700008392334,,,0.00014056141937895117,2008-07-22,,,,
2008-07-22,assignment,38.52916717529297,39.0,0.02162483375060787,1.13174134433251,,,,,,,,,,,38.33743919818244,,,
2008-07-23,stock_exit,39.03678894042969,38.33743919818244,0.02162483375060787,1.1425607832527955,,,,38.52916717529297,0.2709000015258789,,,,,,,price_target,1.0,0.000168832814198872
2008-07-24,put_entry,38.451725006103516,36.0,0.023804256045628785,1.1402510478212429,0.9235805145213583,0.8312224630692224,-0.2777692014055857,39.03678894042969,0.3155600061416626,0.2744000053405762,,,0.0001547276642965871,2008-09-23,,,,
2008-09-23,assignment,34.93035888671875,36.0,0.023804256045628785,1.1394866116679014,,,,,,,,,,,35.17527753693078,,,
2008-09-26,stock_exit,35.36946487426758,35.17527753693078,0.023804256045628785,1.1497835193432298,,,,35.731075286865234,0.3486000061035156,,,,,,,price_target,3.0,0.0001683887596127878
