Period,CAGR,AnnVol,Sharpe,MaxDD,Calmar,CashCAGR,ExcessCAGR,ExcessVol,ExcessSharpe
full,0.07103607603505502,0.09853214596783297,0.7458233971988623,-0.17953721277119983,0.39566213008766365,0.013745606436264435,0.05729046959879058,0.09854369358385956,0.607183747810323
discovery,0.05681299661487493,0.09476446920586533,0.6303962892225177,-0.17953721277119983,0.316441342371048,0.004751036180834944,0.05206196043403999,0.09477091385609714,0.5803344901168456
validation,0.07252237592694,0.0990361708922588,0.7569007401284633,-0.1251037940151558,0.5796976542386413,0.008935714698060204,0.06358666122887979,0.09907468806899351,0.66681106400953
holdout,0.10181585643335223,0.10601037563226456,0.9675758924562745,-0.11305266105639677,0.9006055716155232,0.039657766161707464,0.06215809027164476,0.10602574487099244,0.6005792473782081
