config_id,delta,tenor_days,collateral,hold_days,trend_200d,assignments,stock_time,discovery_CAGR,discovery_AnnVol,discovery_Sharpe,discovery_MaxDD,discovery_Calmar,discovery_CashCAGR,discovery_ExcessCAGR,discovery_ExcessVol,discovery_ExcessSharpe,validation_CAGR,validation_AnnVol,validation_Sharpe,validation_MaxDD,validation_Calmar,validation_CashCAGR,validation_ExcessCAGR,validation_ExcessVol,validation_ExcessSharpe,holdout_CAGR,holdout_AnnVol,holdout_Sharpe,holdout_MaxDD,holdout_Calmar,holdout_CashCAGR,holdout_ExcessCAGR,holdout_ExcessVol,holdout_ExcessSharpe,worst_pre_holdout_excess,worst_pre_holdout_drawdown,eligible,selection_score
280,0.25,42,0.75,126,False,8,0.05426356589147287,0.05681299661487493,0.09476446920586533,0.6303962892225177,-0.17953721277119983,0.316441342371048,0.004751036180834944,0.05206196043403999,0.09477091385609714,0.5803344901168456,0.07252237592694,0.0990361708922588,0.7569007401284633,-0.1251037940151558,0.5796976542386413,0.008935714698060204,0.06358666122887979,0.09907468806899351,0.66681106400953,0.10181585643335223,0.10601037563226456,0.9675758924562745,-0.11305266105639677,0.9006055716155232,0.039657766161707464,0.06215809027164476,0.10602574487099244,0.6005792473782081,0.05206196043403999,-0.17953721277119983,True,0.05206196043403999
208,0.2,42,0.75,126,False,11,0.03733170134638923,0.04815067078928181,0.09384138350240187,0.5479530013689007,-0.19073720239293512,0.25244509296139966,0.004751036180834944,0.04339963460844687,0.09384698180699462,0.4974089424827783,0.05479589009157504,0.10353992438667892,0.567361769604653,-0.18093106474183862,0.3028550689720448,0.008935714698060204,0.045860175393514835,0.10356953589792499,0.481301199357938,0.08282027688640903,0.09954882829728945,0.8487618173327928,-0.10243382703885207,0.8085246766675639,0.039657766161707464,0.043162510724701564,0.09954089982027052,0.4580732417188118,0.04339963460844687,-0.19073720239293512,True,0.04339963460844687
276,0.25,42,0.75,21,False,13,0.029783761729906162,0.045715259763599914,0.0884795050560078,0.5493879654421251,-0.17953721277119983,0.2546283250027888,0.004751036180834944,0.04096422358276497,0.08848301569022657,0.4957927253824207,0.06833916461272005,0.090032022259928,0.7796711272798555,-0.11494304586832849,0.5945480572265772,0.008935714698060204,0.059403449914659845,0.09006906531162145,0.6805767906490313,0.0861123326351314,0.10664082557291632,0.8276952107718338,-0.11820053807906139,0.7285274164956256,0.039657766161707464,0.04645456647342394,0.10659400221938847,0.46315813100972647,0.04096422358276497,-0.17953721277119983,True,0.04096422358276497
95,0.15,21,1.0,126,True,10,0.047123623011015914,0.04176823603996915,0.07565635560913012,0.5786567951822454,-0.13044151563281214,0.320206613955216,0.004751036180834944,0.03701719985913421,0.07567520455764666,0.5158720710860559,0.07440620302344891,0.10923034828231201,0.71183001843356,-0.13959174129698382,0.5330272574302833,0.008935714698060204,0.06547048832538871,0.10924934895962125,0.6302736685104657,0.05750988207423435,0.13676129329229916,0.4772576055826855,-0.22501724048557337,0.25557989223461974,0.039657766161707464,0.01785211591252689,0.13672519269563296,0.1928989464078316,0.03701719985913421,-0.13959174129698382,True,0.03701719985913421
93,0.15,21,1.0,63,True,10,0.033659730722154224,0.04165316412877185,0.07557074255318123,0.5777646545794594,-0.13044151563281214,0.3193244415069808,0.004751036180834944,0.0369021279479369,0.07558977065105436,0.5149078223863575,0.07440620302344869,0.10923034828231205,0.7118300184335539,-0.13959174129698393,0.5330272574302813,0.008935714698060204,0.06547048832538849,0.10924934895962128,0.63027366851046,0.08588806890167588,0.11811897309480365,0.7566125750521943,-0.19677982407847106,0.4364678609907985,0.039657766161707464,0.04623030273996842,0.11810691381326813,0.42735922065411935,0.0369021279479369,-0.13959174129698393,True,0.0369021279479369
278,0.25,42,0.75,63,False,11,0.05426356589147287,0.03979697878282584,0.09317581082489429,0.46536677009326005,-0.17953721277119983,0.2216642342194688,0.004751036180834944,0.0350459426019909,0.0931786543617136,0.41447890219089883,0.07700598861580144,0.10106498780148733,0.7849464411815344,-0.13173256448503967,0.5845630419238266,0.008935714698060204,0.06807027391774123,0.1011045440210881,0.6966467264616703,0.09862893316359145,0.10844850521289655,0.921501922630206,-0.11305266105639689,0.8724158479948554,0.039657766161707464,0.058971167001883984,0.10845973701349705,0.5627828905557963,0.0350459426019909,-0.17953721277119983,True,0.0350459426019909
274,0.25,42,0.5,126,False,8,0.05426356589147287,0.039234797884152295,0.061809185946190136,0.6535227618478389,-0.12004013257948443,0.32684733881123484,0.004751036180834944,0.03448376170331735,0.061812776409420574,0.5767961287490986,0.051011644601821615,0.06493967062140747,0.798829619827885,-0.08337784847420504,0.6118129159641641,0.008935714698060204,0.04207592990376141,0.06497720449864776,0.6614516559418872,0.08079011154403215,0.06970772339556537,1.149463279091857,-0.0750304193378577,1.076764760972998,0.039657766161707464,0.041132345382324687,0.06971448008230116,0.5914158222071196,0.03448376170331735,-0.12004013257948443,True,0.03448376170331735
224,0.25,21,0.5,63,False,24,0.06446348429212566,0.03486268262405612,0.06280830346793723,0.576992065835132,-0.17472532980037403,0.1995284980368169,0.004751036180834944,0.030111646443221174,0.06281951010189289,0.5014294595984508,0.0679926840883327,0.06525282932100518,1.0408769126897708,-0.0860282989019081,0.790352534645139,0.008935714698060204,0.059056969390272496,0.06528206836623673,0.9041335871383807,0.08272718272063506,0.07222985740087827,1.136581809090759,-0.09705658070244494,0.8523603667252528,0.039657766161707464,0.0430694165589276,0.07219818508382783,0.598338035647595,0.030111646443221174,-0.17472532980037403,True,0.030111646443221174
91,0.15,21,1.0,21,True,10,0.016523867809057527,0.03477790194798658,0.06577439267177222,0.552705609220863,-0.09798568496314997,0.3549283955208937,0.004751036180834944,0.030026865767151634,0.06579308137212905,0.48049939821244925,0.07440620302344825,0.10923034828231204,0.7118300184335539,-0.13959174129698426,0.5330272574302769,0.008935714698060204,0.06547048832538804,0.10924934895962128,0.6302736685104597,0.0807232768316275,0.1006445490430679,0.8215548756905492,-0.1504242240721132,0.5366374819585498,0.039657766161707464,0.041065510669920036,0.10062396563419816,0.4351726544202924,0.030026865767151634,-0.13959174129698426,True,0.030026865767151634
226,0.25,21,0.5,126,False,24,0.08812729498164015,0.034731273346930935,0.06743003086043145,0.54001127634133,-0.17472532980037403,0.19877640744253777,0.004751036180834944,0.02998023716609599,0.06744047740426924,0.46963839048592554,0.0679926840883327,0.06525282932100518,1.0408769126897703,-0.08602829890190844,0.7903525346451359,0.008935714698060204,0.059056969390272496,0.06528206836623672,0.9041335871383802,0.0664341133714279,0.07183586880511564,0.9314097988400312,-0.10724800766553833,0.6194437996331653,0.039657766161707464,0.02677634720972044,0.07178711251622137,0.3902150313158656,0.02998023716609599,-0.17472532980037403,True,0.02998023716609599
