offset,best_min_sharpe
104,0.2524548639300554
117,0.36693996953122165
175,1.0691896673403385
47,-0.03215398757707571
471,0.30538073097672447
129,0.5177847577288269
357,0.3786383615104015
109,0.5775617226010199
411,-0.2237755337701092
249,0.749801296004269
31,0.6350538691728808
344,1.1004098115738874
406,-0.02721605895833799
433,-0.2011509349098207
75,0.5941747290532604
423,-0.13159633108546961
30,0.41683184145343233
97,-0.159705533821183
435,-0.22739711965389625
385,1.0202959847354622
419,-0.05053556640510043
381,0.798165964560832
116,0.3241076582493339
470,0.26857904724792075
158,0.5647606847524759
399,0.2630490464145689
217,0.1349275395089412
21,0.45023903897743045
375,0.8399886869439768
156,-0.04949739979533248
323,0.4182950405388149
143,0.02634778605868527
228,0.010727361655474305
275,-0.4323721067091071
244,0.1459656815825342
336,0.8609877531195752
295,1.5237353258780617
434,-0.24376945505465492
42,-0.16410046850421273
281,0.15608524406208704
177,0.9035323917790261
316,0.3492193433556645
92,0.8890432958096002
87,0.9661532320229673
165,0.8635118922203915
214,0.5294285641668254
261,0.29225902312983915
327,0.8510850246503783
268,-0.18525490926858015
254,0.14255912571491705
466,1.324211389958726
285,-0.06683462929547432
315,0.2792025193272753
146,0.06000328499748001
187,0.9603046496236591
488,0.7258201938029301
377,0.7264440980621698
450,-0.17402416651658745
386,1.0362070889239823
424,0.2322229828017947
241,0.17550865992347645
210,1.2724182901932788
349,0.46542666769451047
132,0.7358744031410875
429,-0.3733099084489907
309,-0.0019696703259816715
416,0.20954647808102658
279,0.3040196601852567
472,0.19067912780426075
422,0.2672753406164127
52,-0.14398583376741503
144,0.3321248963074621
192,0.45867540194927175
479,0.40356635485465453
237,-0.26700406530066123
296,1.3008585664777013
194,0.08900150327426591
371,0.5617369338298996
56,0.3144758490277536
173,0.6232686881278064
464,0.9617982633759442
462,0.5164047094675048
255,0.1453550920503616
297,1.2335340149343117
243,0.3398031033963528
402,0.5048887200047594
152,0.5263079789693094
292,0.9787732727683917
123,0.728652498593969
318,-0.40079282049575443
339,0.7297230214936281
426,0.09120203494244081
62,0.09486604535521746
373,0.9693241820128694
20,0.49617349424946566
489,0.7705829127320117
203,0.980562736273511
89,-0.38705563498012674
226,0.09469294019888491
167,0.9280786226296619
208,0.7290177706900096
65,0.348726652105878
397,0.7889809551942383
267,-0.4762907963505284
317,0.04549940969750123
246,0.1171612167457792
38,0.26072347721974914
459,1.0098409939523032
191,1.2509566391246714
41,-0.20235251470071244
265,-0.20490901281371218
63,0.060296941110921494
153,0.6960264979411249
54,0.13572605515876712
383,0.7431069545226774
408,0.5169943403695302
174,0.6401613588063463
36,1.1240068980533044
204,0.876319213272536
70,0.3329428272831489
229,0.18888155262298617
182,0.08156592031497603
169,0.579732523380997
444,0.15277522266020052
442,0.07008937547352706
334,0.6815266873596504
69,0.240418286801658
266,-0.17223770878347175
64,0.18359528151470983
348,0.2838096960171825
37,0.34343964224946166
131,0.8470138284408509
157,0.3254823409987948
467,0.8455058399703332
198,0.8847684534761275
185,0.3418306645419196
342,0.9599996660392316
149,0.026793696012507015
312,0.36701273665215683
391,0.5454375409752955
161,0.6207699040696575
215,0.27372528291814124
112,0.41159787660699043
264,-0.2316422583753407
421,-0.3989233041394098
431,-0.06746198382530429
118,0.6133179761084264
483,0.6287854821506095
262,0.030079506307452555
23,0.41545369494712575
58,-0.140678261093346
384,1.067060825988524
154,0.1934234535237534
231,0.03537446278273705
72,0.626388934275424
61,0.04882279042486477
404,0.15206557951268246
190,1.0230505346964704
100,0.25808980078741844
387,0.989094102596936
53,0.2231707394374649
449,0.030374975658688682
273,-0.12934410374633745
248,0.3180124791115709
338,1.2220798797847285
57,-0.013853536419811687
350,0.4402990704044239
148,0.12883397075756253
113,0.418808759870578
110,0.46948184070693944
220,0.11445736121524017
329,0.8986949876224397
179,1.665705486822898
368,0.4027468221559082
86,0.9120330308530455
367,0.7291134222232784
379,0.9202619605725184
304,0.3871137267420863
213,0.7306384952673883
85,0.7797123654079114
127,0.7412938930826493
227,0.19275445545521633
138,-0.21110606179465963
325,0.4263698117309244
451,0.5445887082298787
291,0.8719501854565455
362,0.6484219437777627
382,1.0134921770912368
441,-0.12426051431301333
305,0.7626997447747219
299,-0.01123053273724867
401,0.5592170811910341
250,0.3203440118907012
380,0.7976344437675612
253,0.39507493505689356
46,0.4800979576131878
314,0.01883932497603595
239,0.03626994008124206
443,-0.12346299561507539
259,1.2154046482293412
