offset,ExcessCAGR,ExcessSharpe,MaxDD
20,-0.039825733738307,-0.042211456920348944,-0.20886953525867036
21,0.08508114306771386,0.4702127383457559,-0.1506070576114703
22,0.10745996295208671,0.56195397004762,-0.1506070576114702
23,0.08577524050395713,0.4744300883939887,-0.15060705761147053
24,0.06336819326625553,0.3816399315533139,-0.1506070576114702
25,0.0396714248390615,0.28411946485399964,-0.15060705761147064
26,-0.0133477596216931,0.056042501521556536,-0.15632881196319015
27,0.023150864359718026,0.2142389915803993,-0.15632881196319015
28,0.06720161734395225,0.3918070826494319,-0.1563288119631897
29,0.10771721053539118,0.5490021871696757,-0.15632881196318982
30,0.08833458009271067,0.4733452387294395,-0.15632881196318993
31,0.08894237085035495,0.4755570962699235,-0.15632881196319004
32,0.046636297130725035,0.30970562070378066,-0.15632881196319015
33,0.02470135274036922,0.22049436300110042,-0.15632881196318982
34,0.04128008562758656,0.2897464059096592,-0.1563288119631897
35,-0.024772405965706845,0.0071747564211803805,-0.1563288119631897
36,0.0293862236418867,0.23984747252501115,-0.1676614930153305
37,-0.04955636859033641,-0.12054225367289884,-0.16766149301533018
38,-0.06553972715686962,-0.18257595051754677,-0.17059256255504696
39,-0.05565287111853734,-0.13942580255180045,-0.1713138147417378
40,-0.04684980727174781,-0.09836821259839522,-0.1676614930153303
41,-0.035179064872182364,-0.0455160857121421,-0.172044876625831
42,-0.02175668349638271,0.018346144676749533,-0.170888550096143
43,-0.03613239496243281,-0.04343672925923137,-0.18174284824934817
44,-0.0034578817342072465,0.10053838020992138,-0.170888550096143
45,0.013206795648170733,0.17068978443672128,-0.17088855009614334
46,-0.057075624348505105,-0.14720208527047543,-0.2041759180173479
47,-0.13926054809152144,-0.5603833543440351,-0.2756082423100895
48,-0.10859445769704068,-0.4059571110756418,-0.23955652316322884
49,-0.13917144186221464,-0.5257387385588561,-0.22101968953618079
50,-0.09250576379699205,-0.29468927474876405,-0.20029084221780502
51,-0.09775963308100055,-0.31882464652831766,-0.19136373608026536
52,-0.08108020890430268,-0.24234119738965007,-0.1782341129038929
53,-0.09850827438760978,-0.3304144381606207,-0.18043302627688662
54,-0.09157759161339696,-0.2930996145876602,-0.1781548949767019
55,-0.08444439489900157,-0.25828753227929674,-0.1806341329083856
56,-0.0823677958244341,-0.24943329928103028,-0.17815489497670123
57,-0.050818994500338444,-0.10986265046055557,-0.17815489497670178
58,-0.13851878302426068,-0.5590344263930128,-0.21680362555898403
59,-0.14747472839054754,-0.5912163814743275,-0.22494473489864697
60,-0.13882089948457177,-0.5423025982490808,-0.21707811002862465
61,-0.09823310382645112,-0.33984195022621516,-0.18018295983159283
62,-0.08126616658314112,-0.25916855010285,-0.17815489497670212
63,-0.07376499590315144,-0.22448805105419636,-0.17815489497670178
64,-0.07069921943221469,-0.2109203865547261,-0.17815489497670156
65,-0.0910980362174032,-0.30904229241299125,-0.17815489497670156
66,-0.009408838360654648,0.0771162431665967,-0.17815489497670245
67,0.016545885743064703,0.18704236267295352,-0.17815489497670145
68,0.0027479213113157375,0.12901315898373855,-0.17815489497670167
69,-0.02206038493435636,0.02036453454114267,-0.17815489497670234
70,-0.06281679787024164,-0.1694147083097093,-0.17815489497670167
71,-0.02998908184102611,-0.01594607669839954,-0.17815489497670256
72,-0.018273290256260233,0.035870517620136336,-0.17815489497670223
73,-0.01428224564353997,0.05279187959378599,-0.17815489497670134
74,0.019216648139447567,0.19797196224798974,-0.17815489497670167
75,0.06825892711039394,0.3979339475025448,-0.178154894976702
