name,family,flow_window,trend_window,quantile,hold,matched_control,eligible,robust_score,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_total_cagr,validation_max_dd,validation_ann_turnover,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
absorption_q70_hold5_ma50,absorption,,50,0.7,5,price_trend_ma50,True,1.1270088733575088,0.15392856199475613,0.15625189620196012,1.1270088733575088,1.2721411418939585,0.20404577381141586,-0.09284725287816997,10.0,1.0980446530440817,0.06303378488690403,3.7022983152142555
absorption_q80_hold5_ma50,absorption,,50,0.8,5,price_trend_ma50,True,1.0735728455674298,0.13169272137697252,0.10918313825627801,1.2686708927050616,1.0735728455674298,0.15503670471094888,-0.07886147649485298,10.0,0.899476356717553,0.07701956127022103,2.8130557174794206
absorption_q80_hold10_ma50,absorption,,50,0.8,10,price_trend_ma50,True,1.0398183207687997,0.2845940481175593,0.1330198527074251,1.6317029599114943,1.0398183207687997,0.1798563369466728,-0.09041847800993097,12.0,0.8657218319189228,0.06546255975514303,3.2633942905070827
breadth_q80_hold5_ma50,breadth,,50,0.8,5,price_trend_ma50,True,0.8235938985404068,0.2649723556537811,0.18306480932320146,0.8235938985404068,0.9160045699053992,0.23196525911038246,-0.1468354671037232,22.0,0.7419080810555224,0.00904557066135081,4.208882016769118
unexpected_q70_hold5_ma50,unexpected,,50,0.7,5,price_trend_ma50,True,0.8033154734477282,0.6282328425342099,0.1658976083691439,1.6830602798049168,0.8033154734477282,0.21409041287455044,-0.1166670024340648,28.0,0.6292189845978514,0.0392140353310092,3.8845527652120717
absorption_q80_hold10_ma100,absorption,,100,0.8,10,price_trend_ma100,True,0.8007565617980725,0.21838539771105903,0.08780577340362772,1.3562113599655972,0.8007565617980725,0.1327783822912827,-0.09041847800993108,6.0,0.5958564778695155,0.08773641696677148,2.139863105058825
breadth_q80_hold5_ma100,breadth,,100,0.8,5,price_trend_ma100,True,0.7855814898516186,0.2421353883054651,0.15795586294834196,0.7855814898516186,0.8149775699009434,0.20582183886506655,-0.14300509469801626,14.0,0.6100774859723863,0.035149800278686305,3.317035134804727
absorption_q70_hold10_ma50,absorption,,50,0.7,10,price_trend_ma50,True,0.7717219971176722,0.19896827048030996,0.09919379615932256,0.9606862462446437,0.7717219971176722,0.14463617223461855,-0.09041847800993086,14.0,0.5976255082677954,0.06546255975514315,2.6243437772848788
unexpected_q80_hold5_ma50,unexpected,,50,0.8,5,price_trend_ma50,True,0.6948325530824018,0.4231085889131778,0.12387041137966315,1.3113437206977232,0.6948325530824018,0.17033076219305343,-0.1298000815142465,26.0,0.5207360642325249,0.026080956250827514,3.090557976855389
breadth_q70_hold5_ma50,breadth,,50,0.7,5,price_trend_ma50,True,0.6699318566391171,0.1993721174658254,0.15875651569185156,0.6699318566391171,0.7587281539583353,0.206655684207659,-0.11666700243406525,24.0,0.5846316651084584,0.039214035331008756,3.749653703578249
unexpected_q70_hold5_ma100,unexpected,,100,0.7,5,price_trend_ma100,True,0.605385340379101,0.40472983485947456,0.12231700753642527,1.2110378104355861,0.605385340379101,0.16871406347014983,-0.14423262887917399,25.0,0.4004852564505439,0.033922266097528575,2.719004355184322
breadth_q80_hold10_ma100,breadth,,100,0.8,10,price_trend_ma100,True,0.6038901860443892,0.3031603994213674,0.12033531722567603,0.8858889613295277,0.6038901860443892,0.16665105161748883,-0.09569111344617154,9.0,0.3989901021158321,0.08246378153053102,2.6857567521285484
absorption_q70_hold5_ma100,absorption,,100,0.7,5,price_trend_ma100,True,0.6008088813785316,0.08122569879733654,0.06276274902967982,0.6008088813785316,0.6234393339134158,0.10670282496352157,-0.09284725287816975,10.0,0.4185392499848587,0.08530764209853281,1.7196281081666718
unexpected_q80_hold10_ma100,unexpected,,100,0.8,10,price_trend_ma100,True,0.5973126691914855,0.15425967384886197,0.15313322397753804,0.5973126691914855,0.7262223686226309,0.20080067667442525,-0.10948828302408387,21.0,0.5213222846940738,0.0686666119526187,3.236113831721679
unexpected_q80_hold10_ma50,unexpected,,50,0.8,10,price_trend_ma50,True,0.5912598282510299,0.33292548135088085,0.11242454422334114,1.0412390792768533,0.5912598282510299,0.1584134088434348,-0.11666700243406458,28.0,0.417163339401153,0.03921403533100942,2.874324156355464
unexpected_q80_hold5_ma100,unexpected,,100,0.8,5,price_trend_ma100,True,0.5437936381992705,0.2665078041844291,0.09480324555121289,0.9224750919786824,0.5437936381992705,0.14006577611846427,-0.12325214763034131,23.0,0.33889355427071344,0.05490274734636125,2.257307111483078
breadth_q70_hold5_ma100,breadth,,100,0.7,5,price_trend_ma100,True,0.47550216598332457,0.11460098207803848,0.1769017398139472,0.47550216598332457,0.819941283405819,0.2255493626899856,-0.09569111344617165,16.0,0.6150411994772619,0.08246378153053091,3.634964903631898
