return_type,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
total,2024,,,-0.010189986888323843,0.004309884151738608,0.03550926394570686,-0.02116145454449181,-0.044532929339523464,-0.0695316010286613,0.02819577663377526,0.04867943062974822,0.37362098032565916,-0.031310328258628006,0.2852041921156958
total,2025,0.03979142630291155,-0.055448976129282235,0.003565177045298018,0.009231778956139136,0.11072156686350709,0.023865516830480216,0.08048574368152717,-0.019221680324581714,-0.024818391993420508,-0.008134191755906794,0.0030924210340748104,0.0030334848449504737,0.16665105161748883
excess,2024,,,-0.012598061511428948,0.0,0.03091332793411139,-0.025364916119780867,-0.04874401044440135,-0.07351407846749936,0.024221586510214665,0.044681874106144104,0.3687065555607436,-0.03480387749231495,0.23594259344957025
excess,2025,0.036092043600393975,-0.05849939703824769,0.0,0.0057588920724302994,0.10675120830228413,0.020322882543325482,0.07661461047263307,-0.02264496499911628,-0.027948169866225503,-0.011343269625292196,0.0,0.0,0.12033531722567603
