name,family,flow_window,trend_window,quantile,hold,matched_control,eligible,score,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_total_cagr,validation_max_dd,validation_ann_turnover,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
extreme_inflow_q80_hold10_ma100,extreme_inflow_hold,,100.0,0.8,10.0,price_trend_ma100,True,0.859278190258683,0.3031603994213674,0.12033531722567603,0.8858889613295277,0.6038901860443892,0.16665105161748883,-0.09569111344617154,9.0,0.3989901021158321,0.08246378153053102,2.6857567521285484
extreme_inflow_q90_hold10_ma20,extreme_inflow_hold,,20.0,0.9,10.0,price_trend_ma20,True,0.763517945929804,0.2906666061544321,0.10669778786183937,0.9768546932999443,0.6275043097028216,0.15244947673106202,-0.10135900805405573,12.0,1.2908017325289833,0.1443508505000437,
extreme_inflow_q70_hold5_ma100,extreme_inflow_hold,,100.0,0.7,5.0,price_trend_ma100,True,0.7311174340449853,0.1090267324631573,0.1769017398139472,0.4618533044744216,0.819941283405819,0.2255493626899856,-0.09569111344617165,16.0,0.6150411994772619,0.08246378153053091,3.634964903631898
extreme_inflow_q80_hold5_ma100,extreme_inflow_hold,,100.0,0.8,5.0,price_trend_ma100,True,0.6313601220313094,0.2590867923727673,0.12292734546503503,0.8232135410196809,0.6607338972446615,0.16934958981606751,-0.16892644610538132,14.0,0.4558338133161044,0.009228448871321238,2.72924652982491
extreme_inflow_q90_hold10_ma100,extreme_inflow_hold,,100.0,0.9,10.0,price_trend_ma100,True,0.624773554750192,0.31823222592948697,0.09154322643107649,0.9864902133190832,0.5353503879887915,0.13667052132687574,-0.11805423426897477,10.0,0.33045030406023446,0.06010066070772779,2.202589014038148
flow_riskoff_w10_q20_ma100,flow_riskoff,10.0,100.0,0.2,,price_trend_ma100,True,0.622225478541305,0.2393184741264094,0.10310535813558386,0.7459920880781797,0.5524594720774229,0.1487105468426615,-0.10629288159398198,14.0,0.3475593881488658,0.07186201338272058,2.396626672432547
extreme_inflow_q70_hold5_ma50,extreme_inflow_hold,,50.0,0.7,5.0,price_trend_ma50,True,0.6191490315160522,0.19337391750782884,0.15875651569185156,0.6563166969738768,0.7587281539583353,0.206655684207659,-0.11666700243406525,24.0,0.5846316651084584,0.039214035331008756,3.749653703578249
extreme_inflow_q80_hold5_ma50,extreme_inflow_hold,,50.0,0.8,5.0,price_trend_ma50,True,0.6032294851596056,0.28223541549132913,0.14727673856569656,0.8601547528707105,0.7612827022926184,0.1947022553217952,-0.17264096201236767,22.0,0.5871862134427416,-0.016759924247293667,3.532765312319194
extreme_inflow_q70_hold10_ma100,extreme_inflow_hold,,100.0,0.7,10.0,price_trend_ma100,True,0.49027026430523885,0.1539155147860809,0.09356619498899543,0.5550394564978439,0.48434556784132327,0.1387789301721365,-0.11340938781360022,15.0,0.2794454839127662,0.06474550716310234,2.236568237316043
extreme_inflow_q90_hold5_ma100,extreme_inflow_hold,,100.0,0.9,5.0,price_trend_ma100,True,0.4874981509585704,0.2547168543685634,0.06857317463882007,0.8894795186639827,0.46758218305517485,0.11275320567385805,-0.0939873312365419,14.0,0.2626820991266178,0.08416756374016066,1.8171363488169168
extreme_inflow_q90_hold5_ma20,extreme_inflow_hold,,20.0,0.9,5.0,price_trend_ma20,True,0.4871933290311712,0.2172269483507352,0.06956134358087351,0.8060950130341717,0.48335486714852566,0.11378198041214005,-0.10021719718448852,14.0,1.1466522899746874,0.14549266136961092,
extreme_inflow_q90_hold3_ma50,extreme_inflow_hold,,50.0,0.9,3.0,price_trend_ma50,True,0.4104067806869341,0.054075880852586744,0.10457608152740194,0.3297830976663661,0.6929862472778264,0.15024010747388217,-0.09375388540507779,16.0,0.5188897584279496,0.06212715235999622,2.726024099338845
extreme_inflow_q90_hold3_ma20,extreme_inflow_hold,,20.0,0.9,3.0,price_trend_ma20,True,0.4029362136823031,0.07628486282904667,0.08303282495347908,0.4041066517943237,0.5688674126441171,0.12780882028788687,-0.10021719718448852,16.0,1.2321648354702788,0.14549266136961092,
extreme_inflow_q80_hold3,extreme_inflow_hold,,,0.8,3.0,buy_hold,True,0.3913261430794134,0.2048992613900571,0.14183946011067605,0.7161207275200816,0.6678832022498346,0.18904216667635954,-0.13003565720994625,32.0,0.7118553906232484,0.19143414763619804,
flow_riskoff_w10_q10_ma100,flow_riskoff,10.0,100.0,0.1,,price_trend_ma100,True,0.38269283435247875,0.12764552822816722,0.07715944799168861,0.49675375959558693,0.43442738678837817,0.1216952807191447,-0.11340938781360044,16.0,0.2295273028598211,0.06474550716310212,1.9612472811982071
flow_riskoff_w10_q30_ma100,flow_riskoff,10.0,100.0,0.3,,price_trend_ma100,True,0.3394713199317911,0.25896262856726526,0.07325536540636635,0.8009281449911541,0.44924877919000455,0.1176295501802953,-0.13988693810524588,16.0,0.24434869526144748,0.038267956871456676,1.8957237627981343
extreme_inflow_q90_hold3,extreme_inflow_hold,,,0.9,3.0,buy_hold,True,0.30595905317302413,0.2047866448499942,0.05583882321689404,0.801205444748842,0.405873613583013,0.09949362949391771,-0.11301705110440363,16.0,0.44984580195642687,0.20845275374174066,
extreme_inflow_q80_hold5_ma20,extreme_inflow_hold,,20.0,0.8,5.0,price_trend_ma20,True,0.28056982606481085,0.09528077383920652,0.12298438295103664,0.4345015645230749,0.6598724519427542,0.16940776899549848,-0.12988673613501533,24.0,1.323169874768916,0.1158231224190841,
extreme_inflow_q90_hold5_ma50,extreme_inflow_hold,,50.0,0.9,5.0,price_trend_ma50,True,0.2706433623135687,0.3692992561270194,0.051235966516597564,1.1578852423840489,0.3799591582441101,0.09470092813364017,-0.11237307579833922,16.0,0.20586266939423323,0.04350796196673479,1.7182962436773903
