candidate,split,cost,family,trend_window,quantile,hold,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
price_trend_ma50,development,base,control,50,,,0.13122190408831602,0.16663434417217537,0.5781086962062091,-0.2518503565544854,0.6616402948634525,0.08784054444651601,0.11098079480046685,0.4591498271797592,18.75,15,0.636986301369863,292
price_trend_ma50,validation,base,control,50,,,0.05511327192973847,0.05511327192973847,0.3428147801763139,-0.155881037765074,0.3535598217712591,0.013214128666922287,0.013214128666922287,0.17409648884987686,26.0,26,0.4712328767123288,365
price_trend_ma50,development,stress,control,50,,,0.10603227816917937,0.13425251750775868,0.5095519693112194,-0.26499102525353224,0.5066304316507004,0.06361368922975408,0.08013962339343217,0.3906241899934546,18.75,15,0.636986301369863,292
price_trend_ma50,validation,stress,control,50,,,0.014565668997889691,0.014565668997889691,0.1798367079465884,-0.1697412260146246,0.08581102740847847,-0.02572759157968485,-0.02572759157968485,0.011670648758489126,26.0,26,0.4712328767123288,365
price_trend_ma100,development,base,control,100,,,-0.025426177724080623,-0.03168105866725379,0.13468229580768307,-0.3498775218639977,-0.09054899697034172,-0.06282067673396541,-0.07789925504093242,0.01978418696199196,22.5,18,0.6986301369863014,292
price_trend_ma100,validation,base,control,100,,,0.06204994234321948,0.06204994234321948,0.3615576432904302,-0.17815489497670256,0.3482920991384143,0.019875401857925912,0.019875401857925912,0.20490008392855708,19.0,19,0.5397260273972603,365
price_trend_ma100,development,stress,control,100,,,-0.05141195504538931,-0.0638465143580983,0.055336976189238954,-0.3662714785404081,-0.1743147312821808,-0.08781275441960879,-0.10853356824567062,-0.05953607602318338,22.5,18,0.6986301369863014,292
price_trend_ma100,validation,stress,control,100,,,0.03203476783773107,0.03203476783773107,0.25073445236185177,-0.191679388441106,0.1671268261979761,-0.008951042875228632,-0.008951042875228632,0.09447454307702788,19.0,19,0.5397260273972603,365
unexpected_q70_hold5_ma50,development,base,unexpected,50,0.7,5.0,0.5358040102500596,0.709699350034664,1.836160482701601,-0.10791684997427864,6.576353462909793,0.4769752180225699,0.6282328425342099,1.6830602798049168,15.0,12,0.4828767123287671,292
unexpected_q70_hold5_ma50,validation,base,unexpected,50,0.7,5.0,0.21409041287455044,0.21409041287455044,0.9862941810047565,-0.1166670024340648,1.835055400480913,0.1658976083691439,0.1658976083691439,0.8033154734477282,28.0,28,0.36712328767123287,365
unexpected_q70_hold5_ma50,development,stress,unexpected,50,0.7,5.0,0.5084716813589882,0.6717504621635442,1.7661012866307477,-0.11044842572049929,6.082028401776187,0.4506864164182651,0.5920874929810271,1.61297464563547,15.0,12,0.4828767123287671,292
unexpected_q70_hold5_ma50,validation,stress,unexpected,50,0.7,5.0,0.16405737762528472,0.16405737762528472,0.7949923378198567,-0.12328456041401958,1.330721195536084,0.11784532910357548,0.11784532910357548,0.6123794711512672,28.0,28,0.36712328767123287,365
