candidate,split,cost,name,family,flow_window,trend_window,quantile,hold,matched_control,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
buy_hold,development,base,buy_hold,control,,,,,buy_hold,0.30859468523314604,0.3996080771529755,0.8952487594815227,-0.24685564567020268,1.6187925379144414,0.25842777535959605,0.3328625606646616,0.8031852984725056,0.0,0,1.0,292
buy_hold,validation,base,buy_hold,control,,,,,buy_hold,-0.06336749968935496,-0.06336749968935496,0.052692210914641255,-0.3214698048461443,-0.19711804572028993,-0.10057749456595155,-0.10057749456595155,-0.043972188373413906,0.0,0,1.0,365
buy_hold,development,stress,buy_hold,control,,,,,buy_hold,0.30859468523314604,0.3996080771529755,0.8952487594815227,-0.24685564567020268,1.6187925379144414,0.25842777535959605,0.3328625606646616,0.8031852984725056,0.0,0,1.0,292
buy_hold,validation,stress,buy_hold,control,,,,,buy_hold,-0.06336749968935496,-0.06336749968935496,0.052692210914641255,-0.3214698048461443,-0.19711804572028993,-0.10057749456595155,-0.10057749456595155,-0.043972188373413906,0.0,0,1.0,365
price_trend_ma20,development,base,price_trend_ma20,control,,20.0,,,buy_hold,0.044417501283022354,0.05582678629880755,0.3301677517538059,-0.3196217525697135,0.17466516546501645,0.004355114458384657,0.0054468534495919485,0.1997480172824942,36.25,29,0.5445205479452054,292
price_trend_ma20,validation,base,price_trend_ma20,control,,20.0,,,buy_hold,-0.15269370629963985,-0.15269370629963985,-0.5073064532144167,-0.24570985855409944,-0.621439071261442,-0.18636030519983837,-0.18636030519983837,-0.6632974228261617,43.0,43,0.4602739726027397,365
price_trend_ma20,development,stress,price_trend_ma20,control,,20.0,,,buy_hold,-0.0001272770756699515,-0.00015909381334222594,0.18496993959340796,-0.3358923466310346,-0.00047364524657355364,-0.03848673037008221,-0.0478747058528779,0.0546479067964743,36.25,29,0.5445205479452054,292
price_trend_ma20,validation,stress,price_trend_ma20,control,,20.0,,,buy_hold,-0.2059263921651785,-0.2059263921651785,-0.7518821589044846,-0.258265945109165,-0.7973424141465365,-0.23748336147519544,-0.23748336147519544,-0.9071184494592087,43.0,43,0.4602739726027397,365
price_trend_ma50,development,base,price_trend_ma50,control,,50.0,,,buy_hold,0.13122190408831602,0.16663434417217537,0.5781086962062091,-0.2518503565544854,0.6616402948634525,0.08784054444651601,0.11098079480046685,0.4591498271797592,18.75,15,0.636986301369863,292
price_trend_ma50,validation,base,price_trend_ma50,control,,50.0,,,buy_hold,0.05511327192973847,0.05511327192973847,0.3428147801763139,-0.155881037765074,0.3535598217712591,0.013214128666922287,0.013214128666922287,0.17409648884987686,26.0,26,0.4712328767123288,365
price_trend_ma50,development,stress,price_trend_ma50,control,,50.0,,,buy_hold,0.10603227816917937,0.13425251750775868,0.5095519693112194,-0.26499102525353224,0.5066304316507004,0.06361368922975408,0.08013962339343217,0.3906241899934546,18.75,15,0.636986301369863,292
price_trend_ma50,validation,stress,price_trend_ma50,control,,50.0,,,buy_hold,0.014565668997889691,0.014565668997889691,0.1798367079465884,-0.1697412260146246,0.08581102740847847,-0.02572759157968485,-0.02572759157968485,0.011670648758489126,26.0,26,0.4712328767123288,365
price_trend_ma100,development,base,price_trend_ma100,control,,100.0,,,buy_hold,-0.025426177724080623,-0.03168105866725379,0.13468229580768307,-0.3498775218639977,-0.09054899697034172,-0.06282067673396541,-0.07789925504093242,0.01978418696199196,22.5,18,0.6986301369863014,292
price_trend_ma100,validation,base,price_trend_ma100,control,,100.0,,,buy_hold,0.06204994234321948,0.06204994234321948,0.3615576432904302,-0.17815489497670256,0.3482920991384143,0.019875401857925912,0.019875401857925912,0.20490008392855708,19.0,19,0.5397260273972603,365
price_trend_ma100,development,stress,price_trend_ma100,control,,100.0,,,buy_hold,-0.05141195504538931,-0.0638465143580983,0.055336976189238954,-0.3662714785404081,-0.1743147312821808,-0.08781275441960879,-0.10853356824567062,-0.05953607602318338,22.5,18,0.6986301369863014,292
price_trend_ma100,validation,stress,price_trend_ma100,control,,100.0,,,buy_hold,0.03203476783773107,0.03203476783773107,0.25073445236185177,-0.191679388441106,0.1671268261979761,-0.008951042875228632,-0.008951042875228632,0.09447454307702788,19.0,19,0.5397260273972603,365
